model,angle,seed,rows,nmae,acc_at_2_percent,p95_absolute_error
Full GeoPRR,0,20262020,1558,0.007863287875624658,0.9409499358151476,0.02227666519868896
Full GeoPRR,0,20262021,1558,0.007921845430030187,0.9338896020539152,0.02377370135735834
Full GeoPRR,0,20262022,1558,0.007572571533032591,0.9454428754813864,0.020847663318367363
Full GeoPRR,15,20262020,1558,0.00967131516975927,0.9216944801026957,0.025569101851006543
Full GeoPRR,15,20262021,1558,0.009732114901343977,0.9261874197689345,0.02578652166616198
Full GeoPRR,15,20262022,1558,0.008663394896087072,0.9306803594351734,0.02373019854390497
Full GeoPRR,25,20262020,1558,0.010142290223380264,0.9011553273427471,0.027287449881187618
Full GeoPRR,25,20262021,1558,0.010151038700235348,0.9088575096277278,0.027479865753915176
Full GeoPRR,25,20262022,1558,0.009173886293328864,0.9274711168164314,0.026185732007843316
Full GeoPRR,35,20262020,1558,0.010943321380266073,0.8921694480102695,0.031261987553233055
Full GeoPRR,35,20262021,1558,0.010620477068085051,0.8973042362002568,0.03145933361729055
Full GeoPRR,35,20262022,1558,0.009916000587719792,0.9139922978177151,0.026567947885117477
Full GeoPRR,45,20262020,1558,0.012799842588915106,0.868421052631579,0.038318950906596115
Full GeoPRR,45,20262021,1558,0.012530746171228731,0.8761232349165597,0.03798749582715254
Full GeoPRR,45,20262022,1558,0.0116191508002454,0.883183568677792,0.03304752861144494
Full GeoPRR,60,20262020,1558,0.13407916064476633,0.12259306803594351,0.451062721204728
Full GeoPRR,60,20262021,1558,0.12821523734403592,0.15725288831835688,0.44974641142671934
Full GeoPRR,60,20262022,1558,0.13783983117368975,0.14313222079589216,0.4932502316524792
Without geometry-aware fusion,0,20262020,1558,0.007835250102005045,0.941591784338896,0.021682188077313588
Without geometry-aware fusion,0,20262021,1558,0.00790113927508037,0.9332477535301669,0.02335425775393381
Without geometry-aware fusion,0,20262022,1558,0.007576004570691307,0.9454428754813864,0.020794365179883947
Without geometry-aware fusion,15,20262020,1558,0.0110487907492254,0.9024390243902439,0.02766765818451629
Without geometry-aware fusion,15,20262021,1558,0.011310576711147614,0.9056482670089859,0.02869069900109426
Without geometry-aware fusion,15,20262022,1558,0.010067826434906155,0.9178433889602053,0.02613044923736288
Without geometry-aware fusion,25,20262020,1558,0.014208206847195053,0.8299101412066753,0.03475857970450697
Without geometry-aware fusion,25,20262021,1558,0.014391836120683527,0.8465982028241335,0.034486386211809064
Without geometry-aware fusion,25,20262022,1558,0.012660559268636956,0.8658536585365854,0.03283310002638751
Without geometry-aware fusion,35,20262020,1558,0.018474895525817492,0.7207958921694481,0.04415334822705725
Without geometry-aware fusion,35,20262021,1558,0.017663784163527086,0.7329910141206675,0.04517745849299694
Without geometry-aware fusion,35,20262022,1558,0.016493800531417118,0.7528883183568678,0.03955086303002062
Without geometry-aware fusion,45,20262020,1558,0.02584014928377144,0.5738125802310655,0.06464757370099858
Without geometry-aware fusion,45,20262021,1558,0.024411226137629125,0.5930680359435173,0.06687394563245264
Without geometry-aware fusion,45,20262022,1558,0.025185153775271054,0.5969191270860077,0.07094052430121793
Without geometry-aware fusion,60,20262020,1558,0.13322098945482821,0.1245186136071887,0.4510139109611214
Without geometry-aware fusion,60,20262021,1558,0.12816212271223837,0.15661103979460847,0.4495714419919814
Without geometry-aware fusion,60,20262022,1558,0.13787484604355327,0.14634146341463414,0.48838797093639297
Raw EfficientNet-B0,0,20262020,1558,0.008358562223405502,0.9370988446726572,0.02269859642837048
Raw EfficientNet-B0,0,20262021,1558,0.008201524954890665,0.9338896020539152,0.022667321454009782
Raw EfficientNet-B0,0,20262022,1558,0.007738233936816528,0.944801026957638,0.021106737583726425
Raw EfficientNet-B0,15,20262020,1558,0.012782317979926289,0.8626444159178434,0.03092172110127291
Raw EfficientNet-B0,15,20262021,1558,0.012600645527408543,0.8741976893453145,0.0317134554800658
Raw EfficientNet-B0,15,20262022,1558,0.012169666000282714,0.8780487804878049,0.03013983435478201
Raw EfficientNet-B0,25,20262020,1558,0.01712852289471543,0.7541720154043645,0.041216440788660755
Raw EfficientNet-B0,25,20262021,1558,0.017036556302099555,0.7637997432605905,0.04463291279251039
Raw EfficientNet-B0,25,20262022,1558,0.016190127237543695,0.7541720154043645,0.03924117759895578
Raw EfficientNet-B0,35,20262020,1558,0.023124965425599983,0.5911424903722722,0.059417135426307895
Raw EfficientNet-B0,35,20262021,1558,0.02361979351854633,0.6026957637997432,0.06280033354520922
Raw EfficientNet-B0,35,20262022,1558,0.022328870633872594,0.6110397946084724,0.06128710250505053
Raw EfficientNet-B0,45,20262020,1558,0.0377599251067445,0.4268292682926829,0.11473100618466579
Raw EfficientNet-B0,45,20262021,1558,0.03932514117380244,0.42811296534017973,0.12342539368657807
Raw EfficientNet-B0,45,20262022,1558,0.04064611850262482,0.40821566110397944,0.12411047865046058
Raw EfficientNet-B0,60,20262020,1558,0.13245942298901417,0.13029525032092426,0.45134843606945885
Raw EfficientNet-B0,60,20262021,1558,0.12799247737319425,0.15789473684210525,0.4500690281520127
Raw EfficientNet-B0,60,20262022,1558,0.1380514966209267,0.14441591784338895,0.4956194834997462
