model,angle,rows_per_seed,pooled_rows,pooled_nmae,seed_nmae_mean,seed_nmae_sd,pooled_acc_at_2_percent,seed_acc_at_2_percent_mean,seed_acc_at_2_percent_sd,pooled_p95_absolute_error,seed_p95_absolute_error_mean,seed_p95_absolute_error_sd,support_normalization_availability_rate,identity_fallback_rate,mean_valid_support_fraction
Full GeoPRR,0,1558,4674,0.007828385493927026,0.007828385493927026,0.00020392656429856602,0.9405220367993153,0.9405220367993153,0.005458857861434744,0.022170934689276063,0.021777141134824294,0.0011915581841331947,0.0,1.0,1.0
Full GeoPRR,15,1558,4674,0.009418055539099968,0.009418055539099968,0.0005588921824246587,0.9257595207531023,0.9257595207531022,0.006492935774708386,0.02543354701933772,0.025118623036854387,0.0013407232595980942,0.9492939666238768,0.050706033376123234,0.7781601965962999
Full GeoPRR,25,1558,4674,0.00991583746890801,0.009915837468908012,0.0004897068973885118,0.9135643988018828,0.9135643988018828,0.014140104100862923,0.027705881414513914,0.02725703119716408,0.0013075069130357227,0.9646983311938383,0.03530166880616174,0.6901355066715676
Full GeoPRR,35,1558,4674,0.010592356336410579,0.010592356336410577,0.000538542065336901,0.9002995293110826,0.9002995293110826,0.006429173813143652,0.029788295840527917,0.03005714524223015,0.0021568933682627185,0.9679075738125802,0.03209242618741977,0.5930275375331933
Full GeoPRR,45,1558,4674,0.012416269114105462,0.012416269114105462,0.0006092289297894526,0.8724860932819855,0.8724860932819855,0.009174917262469636,0.03663465659196567,0.036305968672295234,0.0027311382186763684,0.9608472400513479,0.03915275994865212,0.4900527426229362
Full GeoPRR,60,1558,4674,0.1336990578875321,0.1336990578875321,0.004067646663499308,0.1427043217800599,0.1427043217800599,0.01661796938736105,0.4663211116317228,0.4688266633083229,0.02269715893306282,0.0,1.0,0.3293784263810389
Without geometry-aware fusion,0,1558,4674,0.007815579552875238,0.007815579552875238,0.00018926119485197592,0.9403080872913993,0.9403080872913993,0.005776636713735572,0.021964075953312318,0.02167442301384952,0.0012396695362399542,0.0,1.0,1.0
Without geometry-aware fusion,15,1558,4674,0.010835748270881128,0.010835748270881128,0.0006293880311431902,0.9050064184852374,0.9050064184852374,0.006942653290367103,0.02713113757104275,0.02716223722344792,0.001376235336744392,0.9492939666238768,0.050706033376123234,0.7781601965962999
Without geometry-aware fusion,25,1558,4674,0.013764837802289055,0.013764837802289057,0.0009295549022059355,0.8483097988874626,0.8483097988874625,0.017581651479719136,0.03405934596344587,0.0337708487420449,0.0020507183936335186,0.9646983311938383,0.03530166880616174,0.6901355066715676
Without geometry-aware fusion,35,1558,4674,0.017538358607576555,0.01753835860757656,0.0010678570392621697,0.7347026101839966,0.7347026101839965,0.018957182045381736,0.043145181183351526,0.043113325423151126,0.0030381633148387458,0.9679075738125802,0.03209242618741977,0.5930275375331933
Without geometry-aware fusion,45,1558,4674,0.025153120263638865,0.025153120263638865,0.0004120454701303479,0.5877192982456141,0.587719298245614,0.01221762219535237,0.06663265219508445,0.06660356914485847,0.00233091266501817,0.9608472400513479,0.03915275994865212,0.4900527426229362
Without geometry-aware fusion,60,1558,4674,0.13340788416973795,0.13340788416973795,0.0041226748696625865,0.14227642276422764,0.14227642276422764,0.015647594782393283,0.46715802063692047,0.46890022868651027,0.023920382922379583,0.0,1.0,0.3293784263810389
Raw EfficientNet-B0,0,1558,4674,0.008167794596693215,0.008167794596693215,0.00034392840209610296,0.9394522892597347,0.9394522892597347,0.005533811363447846,0.021806923884109382,0.02195556446797048,0.001023137022217961,0.0,1.0,1.0
Raw EfficientNet-B0,15,1558,4674,0.01256862545201065,0.012568625452010651,0.0002764211463556585,0.8709884467265725,0.8709884467265726,0.006321474840690698,0.0308653824351073,0.03088477928870878,0.001188910517353025,0.9492939666238768,0.050706033376123234,0.7781601965962999
Raw EfficientNet-B0,25,1558,4674,0.01680786782455067,0.01680786782455067,0.0005038297796305638,0.7537441163885323,0.7537441163885323,0.0051481426681711726,0.04146809786979881,0.041921403562626296,0.002507135513668678,0.9646983311938383,0.03530166880616174,0.6901355066715676
Raw EfficientNet-B0,35,1558,4674,0.023082940529947606,0.0230829405299476,0.0007110329765217583,0.600556268720582,0.6005562687205819,0.007299410401896416,0.06086706779934174,0.06162248281657384,0.0022989332829643646,0.9679075738125802,0.03209242618741977,0.5930275375331933
Raw EfficientNet-B0,45,1558,4674,0.039284102175467274,0.039284102175467274,0.0013582060273026394,0.4240479246897732,0.4240479246897732,0.013174843233496485,0.1220329694457241,0.12063236657411756,0.0044364519113523635,0.9608472400513479,0.03915275994865212,0.4900527426229362
Raw EfficientNet-B0,60,1558,4674,0.13316039904366433,0.13316039904366433,0.0043232446342386715,0.14227642276422764,0.14227642276422764,0.014008383855259604,0.46838840547942395,0.46985543438617033,0.023634079590726765,0.0,1.0,0.3293784263810389
