variant,condition,penalty_mean
no_geometry_fusion,clean,-1.059281100464493e-05
no_geometry_fusion,blur_moderate,-5.434782800648463e-06
no_geometry_fusion,blur_severe,-4.984853686067492e-06
no_geometry_fusion,perspective_moderate,0.003973667391457838
no_geometry_fusion,perspective_severe,0.012245542592230714
no_geometry_fusion,combined_severe,0.012158410700257838
fixed_routing,clean,0.00016864775931813348
fixed_routing,blur_moderate,0.00016343198904797851
fixed_routing,blur_severe,0.00016297702798050539
fixed_routing,perspective_moderate,0.0005336747396732344
fixed_routing,perspective_severe,0.0034586318319764263
fixed_routing,combined_severe,0.003780877305763377
no_relational_transport,clean,1.5486650915286227e-05
no_relational_transport,blur_moderate,1.8269231094283355e-05
no_relational_transport,blur_severe,2.1597687908876394e-05
no_relational_transport,perspective_moderate,0.0005300563189839125
no_relational_transport,perspective_severe,0.0010728464212529998
no_relational_transport,combined_severe,0.0012435697980196724
no_polar_evidence,clean,0.00039835935539441093
no_polar_evidence,blur_moderate,0.00038947715291545395
no_polar_evidence,blur_severe,0.0003860481137069216
no_polar_evidence,perspective_moderate,-0.00026086982796785454
no_polar_evidence,perspective_severe,-0.0004029983502741308
no_polar_evidence,combined_severe,-0.0004482452210518706
