method,seed,scope,pooled_nmae,pooled_acc_at_5_percent,pooled_coverage
GeoPRR-Net,20262020,all_conditions,0.11591215145480657,0.4289127837514934,1.0
GeoPRR-Net,20262021,all_conditions,0.09987374078613331,0.4491039426523297,1.0
GeoPRR-Net,20262022,all_conditions,0.10973608960116579,0.4881720430107526,1.0
Raw ResNet-18,20262020,all_conditions,0.2087730038660965,0.2633213859020311,1.0
Raw ResNet-18,20262021,all_conditions,0.22690479265376629,0.2637992831541219,1.0
Raw ResNet-18,20262022,all_conditions,0.2249265377556272,0.20812425328554357,1.0
Raw EfficientNet-B0,20262020,all_conditions,0.14642355797008802,0.37013142174432495,1.0
Raw EfficientNet-B0,20262021,all_conditions,0.10959336084250831,0.45304659498207883,1.0
Raw EfficientNet-B0,20262022,all_conditions,0.15472376831722567,0.41887694145758664,1.0
Raw MobileNetV3-Large,20262020,all_conditions,0.130838213048528,0.3927120669056153,1.0
Raw MobileNetV3-Large,20262021,all_conditions,0.14444795237572947,0.35555555555555557,1.0
Raw MobileNetV3-Large,20262022,all_conditions,0.21782715009835044,0.2637992831541219,1.0
