group_id,delta_nmae_percent_fs,rows
industrial_group_001,-5.172438231775538,258
industrial_group_002,-5.0341464129011255,258
industrial_group_003,-1.4305613550717349,264
industrial_group_004,-0.046468421297019266,258
industrial_group_005,-12.989194887168665,246
industrial_group_006,-6.120410334620518,258
industrial_group_007,-7.026586886094164,264
industrial_group_008,-7.847954289780724,12
industrial_group_009,-9.47211468919153,264
industrial_group_010,-13.711082500486382,264
industrial_group_011,-10.367727331491421,264
industrial_group_012,-23.79694929686469,282
industrial_group_013,-12.834877158374638,252
industrial_group_014,-22.709463236800953,234
industrial_group_015,-14.041070687422724,234
industrial_group_016,-12.362504566930271,264
industrial_group_017,-19.3512456009245,264
industrial_group_018,-7.8318069751063994,72
industrial_group_019,-17.702896209263923,252
industrial_group_020,-11.965921139759082,264
industrial_group_021,-39.595175819439724,264
industrial_group_022,-14.223552974984921,264
industrial_group_023,-5.456750581153869,264
industrial_group_024,-33.16559723964087,270
industrial_group_025,-3.259760731138868,258
industrial_group_026,-3.4767361550159706,204
industrial_group_027,-4.653554674243625,258
industrial_group_028,-2.3002804036234306,258
industrial_group_029,3.3201064985677826,240
industrial_group_030,-3.40084288122501,216
industrial_group_031,-16.784292114829576,24
industrial_group_032,-19.591859238843124,24
industrial_group_033,-18.10594974660579,18
industrial_group_034,-14.705765687205172,12
industrial_group_035,-16.867174189951687,48
industrial_group_036,-14.65609924826357,48
industrial_group_037,-15.873456699014813,48
industrial_group_038,-17.14268067768878,48
industrial_group_039,-16.867166316343678,48
industrial_group_040,-18.280492832401283,48
industrial_group_041,-20.61477954713283,48
industrial_group_042,-14.149995637712653,48
industrial_group_043,-12.64178758431916,48
industrial_group_044,-15.126683570996477,48
industrial_group_045,-24.157141233667915,36
industrial_group_046,-18.903534627071135,48
industrial_group_047,-15.01289029750559,48
industrial_group_048,-19.54517333154325,48
industrial_group_049,-14.663318777870801,48
industrial_group_050,-14.501571822256123,48
industrial_group_051,-19.311770214940662,48
industrial_group_052,-1.0923552373894536,264
