model,angle,seed_nmae_mean,seed_nmae_sd,identity_fallback_rate
Full GeoPRR,0,0.00680355023575034,0.00028882897469812265,1.0
Without geometry-aware fusion,0,0.0067929567155047485,0.0002945205604452685,1.0
Raw EfficientNet-B0,0,0.006176217035149146,0.00027825534161139367,1.0
Full GeoPRR,15,0.008150388322862707,0.0004955351788145005,0.05225000000000002
Without geometry-aware fusion,15,0.009833615427678773,0.0005477164178001445,0.05225000000000002
Raw EfficientNet-B0,15,0.010619828724127993,6.200402649049353e-05,0.05225000000000002
Full GeoPRR,25,0.008715778002386421,0.0003571851908475606,0.035499999999999976
Without geometry-aware fusion,25,0.012689444787902507,0.0004228795134038899,0.035499999999999976
Raw EfficientNet-B0,25,0.01444787997770101,0.0002816431347816786,0.035499999999999976
Full GeoPRR,35,0.00915415008245241,0.00042233300353662406,0.035499999999999976
Without geometry-aware fusion,35,0.01654185959445115,0.0003457430008905994,0.035499999999999976
Raw EfficientNet-B0,35,0.02088029911412699,0.0006551103987511123,0.035499999999999976
Full GeoPRR,45,0.010556431127428899,0.0005640305833351926,0.038250000000000006
Without geometry-aware fusion,45,0.0228019751089164,0.00046093787399981346,0.038250000000000006
Raw EfficientNet-B0,45,0.03212432616821539,0.0017955894450618058,0.038250000000000006
Full GeoPRR,60,0.1068758563583542,0.006620768404042341,1.0
Without geometry-aware fusion,60,0.10676064678313187,0.006796521577003381,1.0
Raw EfficientNet-B0,60,0.11440247109810935,0.016515172666237306,1.0
