domain,method,nmae_mean,nmae_sample_sd,acc_at_5_mean,acc_at_5_sample_sd,coverage_mean
SyncG Scene-Holdout,GeoPRR-Net,0.008726076663887842,0.00041195503753438075,0.9848194444444444,0.00233196884706975,1.0
SyncG Scene-Holdout,VDN,0.01482591532258246,0.0006616976953001932,0.9667638888888888,0.0035712814123120672,1.0
SyncG Scene-Holdout,DeepLabV3+-ROI,0.02947252095928476,0.007503932197556683,0.9340555555555555,0.008832186770451993,0.9906388888888888
SyncG Scene-Holdout,YOLO11s-Pose-4KP,0.05747765564792487,0.021935561361112646,0.8224305555555556,0.022216045148429023,0.9763333333333333
Industrial-1395,GeoPRR-Net,0.10850732728070189,0.008089502260608922,0.45539625647152526,0.03012656405713162,1.0
Industrial-1395,VDN,0.33051908245997347,0.08630350162144991,0.3688968538430904,0.04952240299406632,0.8941059338908799
Industrial-1395,DeepLabV3+-ROI,0.3947525067525439,0.018137643658620764,0.3567901234567901,0.03291389029136184,0.763958582238152
Industrial-1395,YOLO11s-Pose-4KP,0.3269751352784665,0.0645835113093814,0.3613301473516527,0.018012643109807956,0.8941059338908799
RF100-VL,GeoPRR-Net,0.056867822241491235,0.013661152788821929,0.736571008094187,0.04255297332340258,1.0
RF100-VL,VDN,0.1382692802831702,0.036075120582058265,0.634289919058131,0.05973875936657775,1.0
RF100-VL,DeepLabV3+-ROI,0.23799304938784488,0.025993865262439585,0.6600441501103752,0.015333823387913705,0.8811626195732155
RF100-VL,YOLO11s-Pose-4KP,0.1785993633531307,0.051478971430902146,0.5206033848417954,0.016271776591240582,0.948859455481972
