method,nmae_mean,nmae_sd,acc2_mean,acc2_sd,condition,label,geo_reduction_percent,delta_geo_minus_method,ci_low,ci_high,rows,groups,bootstrap_replicates
GeoPRR-Net,0.006803549756196824,0.0002888310423887485,0.9500833333333333,0.007426024059571396,clean,Clean,0.0,0.0,0.0,0.0,4000,145,20000
GeoPRR-Net,0.0068199869903378205,0.0003085198929684101,0.9501666666666665,0.006006940430313382,blur_moderate,Blur moderate,0.0,0.0,0.0,0.0,4000,145,20000
GeoPRR-Net,0.0070495124230599,0.00028786229539632497,0.9461666666666666,0.005269803917920749,blur_severe,Blur severe,0.0,0.0,0.0,0.0,4000,145,20000
GeoPRR-Net,0.00871577779062695,0.00035718542051955645,0.9189999999999999,0.0071980900244440395,perspective_moderate,Perspective moderate,0.0,0.0,0.0,0.0,4000,145,20000
GeoPRR-Net,0.010556432281720768,0.0005640308151806096,0.8870833333333333,0.00870464435421307,perspective_severe,Perspective severe,0.0,0.0,0.0,0.0,4000,145,20000
GeoPRR-Net,0.012411200741384791,0.0006947535843255387,0.8625,0.007365459931328133,combined_severe,Perspective severe + blur,0.0,0.0,0.0,0.0,4000,145,20000
Raw ResNet-18,0.006153662492897615,4.392118811636295e-05,0.9530833333333334,0.0036257183196344873,clean,Clean,-10.560983220143962,0.0006498872632992097,0.0003306549478552111,0.0009447271708270874,4000,145,20000
Raw ResNet-18,0.0061942138474080895,4.286699864689726e-05,0.95375,0.00238484800354237,blur_moderate,Blur moderate,-10.102543411406113,0.000625773142929731,0.000283400254778353,0.0009236287798850492,4000,145,20000
Raw ResNet-18,0.006429980760420161,4.8390762871677446e-05,0.9500833333333333,0.002081665999466174,blur_severe,Blur severe,-9.635046911077506,0.0006195316626397404,0.00025335182736211395,0.0009444539883172914,4000,145,20000
Raw ResNet-18,0.017287715648256388,0.00045377660344010325,0.7503333333333334,0.01855116797760551,perspective_moderate,Perspective moderate,49.58398224518454,-0.008571937857629436,-0.009241756831340275,-0.00793365624012105,4000,145,20000
Raw ResNet-18,0.055147286003612725,0.0019553972006982716,0.3201666666666667,0.01170024928509359,perspective_severe,Perspective severe,80.85774831960141,-0.04459085372189195,-0.04663877808779665,-0.04261175246758994,4000,145,20000
Raw ResNet-18,0.058269843298182425,0.001757274665417607,0.3046666666666667,0.011446433214470513,combined_severe,Perspective severe + blur,78.70047345438472,-0.045858642556797634,-0.04791812936601738,-0.04385078168273233,4000,145,20000
Raw EfficientNet-B0,0.006176217156104666,0.00027825511676763683,0.9628333333333334,0.004389855730355308,clean,Clean,-10.15723029544215,0.0006273326000921587,0.00045892184108311325,0.0008124361269973424,4000,145,20000
Raw EfficientNet-B0,0.006171220319525542,0.00032425449788562834,0.9626666666666667,0.004155819213263908,blur_moderate,Blur moderate,-10.512777655330172,0.0006487666708122767,0.0004830095650288828,0.0008337372836405884,4000,145,20000
Raw EfficientNet-B0,0.00637514297257325,0.00031368095794036136,0.9604166666666667,0.0036257183196344873,blur_severe,Blur severe,-10.57810708540781,0.000674369450486649,0.0005023997869284131,0.0008601808594704504,4000,145,20000
Raw EfficientNet-B0,0.0144478799829397,0.0002816429080907818,0.7889166666666667,0.01725241528984656,perspective_moderate,Perspective moderate,39.67434806408491,-0.005732102192312748,-0.006064485753276258,-0.005399598500388273,4000,145,20000
Raw EfficientNet-B0,0.03212432652609549,0.0017955894802390779,0.45324999999999993,0.04738736645984878,perspective_severe,Perspective severe,67.13882149982044,-0.021567894244374726,-0.022746478900653684,-0.020458310353047772,4000,145,20000
Raw EfficientNet-B0,0.03427499632180766,0.0016708369841888179,0.4404166666666666,0.03713601127387452,combined_severe,Perspective severe + blur,63.789344789839994,-0.02186379558042286,-0.023100924310323945,-0.02067860929860228,4000,145,20000
Raw MobileNetV3-Large,0.006918110633423073,0.00016931633220191255,0.948,0.0025980762113532504,clean,Clean,1.6559561316174705,-0.00011456087722624964,-0.0003985183085243244,0.00015876067169989108,4000,145,20000
Raw MobileNetV3-Large,0.00691066751307435,0.0001531304403817807,0.9468333333333334,0.0027537852736430578,blur_moderate,Blur moderate,1.3121818198454693,-9.068052273652864e-05,-0.0003727336348058102,0.00017579721257527138,4000,145,20000
Raw MobileNetV3-Large,0.007158032053280442,0.0001677150760090917,0.9439166666666666,0.0037527767497326004,blur_severe,Blur severe,1.5160539854080493,-0.00010851963022054378,-0.00039104859905484264,0.00015747372988311558,4000,145,20000
Raw MobileNetV3-Large,0.017295277741404148,0.0007580731681974526,0.7330833333333334,0.01324370919845848,perspective_moderate,Perspective moderate,49.60602587050825,-0.008579499950777196,-0.00936291110343212,-0.00790981786887185,4000,145,20000
Raw MobileNetV3-Large,0.049293863698919645,0.005118986414820273,0.34175,0.023351927115336756,perspective_severe,Perspective severe,78.58469292202767,-0.03873743141719887,-0.04063446025290489,-0.036876742143332794,4000,145,20000
Raw MobileNetV3-Large,0.052461594481192086,0.0050341773154962575,0.32866666666666666,0.019375134408135906,combined_severe,Perspective severe + blur,76.34231123906402,-0.0400503937398073,-0.04209417810190618,-0.03806549049291445,4000,145,20000
