scope,aggregation,comparison_type,new_frozen_nmae_pct_fs,new_frozen_nmae_sample_sd,old_adapted_nmae_pct_fs,old_adapted_nmae_sample_sd,new_frozen_acc5_pct,new_frozen_acc5_sample_sd,old_adapted_acc5_pct,old_adapted_acc5_sample_sd,adapted_minus_frozen_nmae_pct_fs,acc5_gain_pp,relative_nmae_reduction_pct,ci95_low_pct_fs,ci95_high_pct_fs,bootstrap_seed,bootstrap_replicates,rows_per_seed,groups,source_seed_count,scored_prediction_sets,ensemble_members
all_conditions,main,cross_training_protocol,11.623503306597366,1.6030251902538277,2.406462022848741,0.15459895303047214,51.808044603743525,3.3372777913430585,85.14934289127837,2.5256315912494727,-9.217041283748625,33.34129828753484,79.29658589693125,-12.861148949064466,-6.157165764095455,20261107,20000,8370,52,3,3,
all_conditions,ensemble,cross_training_protocol,11.28661265965242,,2.1257863900471916,,50.03584229390681,,88.05256869772998,,-9.160826269605227,38.01672640382317,81.16541734752278,-12.826925267804432,-6.0747840597084215,20261107,20000,8370,52,3,1,3
clean,main,cross_training_protocol,12.244004372240584,2.052019698577706,2.4153603681193423,0.22007894558927513,52.043010752688176,2.1119598369399624,85.1373954599761,3.8764950139941914,-9.82864400412124,33.09438470728793,80.27311739943993,-13.847894791894324,-6.4690917463128095,20261107,20000,1395,52,3,3,
clean,ensemble,cross_training_protocol,11.971125328263074,,2.1287529160201566,,49.749103942652326,,88.45878136200717,,-9.842372412242918,38.70967741935485,82.2176039624754,-13.87656763112543,-6.438364494362259,20261107,20000,1395,52,3,1,3
blur_moderate,main,cross_training_protocol,12.199322686115734,2.0602660422319286,2.3976702399171863,0.2058552183484721,52.18637992831541,2.0639684657903894,85.23297491039426,3.617764266937787,-9.801652446198547,33.04659498207885,80.34587409802663,,,,,1395,52,3,3,
blur_moderate,ensemble,cross_training_protocol,11.911941513449415,,2.1120687444909994,,49.89247311827957,,88.24372759856631,,-9.799872768958416,38.35125448028674,82.26931569378236,,,,,1395,52,3,1,3
blur_severe,main,cross_training_protocol,12.320650535300432,2.3077893697845586,2.366964425326037,0.2507497829672739,51.85185185185185,1.9740396226831898,85.3763440860215,3.6375955430438056,-9.953686109974395,33.52449223416966,80.78864083885551,,,,,1395,52,3,3,
blur_severe,ensemble,cross_training_protocol,12.027071162641244,,2.0906992686263224,,49.82078853046595,,87.95698924731182,,-9.936371894014922,38.13620071684588,82.61672155794257,,,,,1395,52,3,1,3
perspective_moderate,main,cross_training_protocol,10.508071511446039,1.3077173597308185,2.296475761621441,0.13346869145509624,53.572281959378735,4.313800371382273,86.61887694145759,2.0024693243052165,-8.211595749824598,33.04659498207885,78.14560208198071,,,,,1395,52,3,3,
perspective_moderate,ensemble,cross_training_protocol,10.175971388067735,,2.050919594766251,,51.82795698924731,,89.6774193548387,,-8.125051793301484,37.84946236559139,79.84546618152697,,,,,1395,52,3,1,3
perspective_severe,main,cross_training_protocol,11.603921939772173,1.2319839767426277,2.492297172202935,0.12300247399368935,49.72520908004779,5.749681919004046,84.34886499402629,2.1293258952176024,-9.111624767569237,34.623655913978496,78.52194124418706,,,,,1395,52,3,3,
perspective_severe,ensemble,cross_training_protocol,11.194660336266983,,2.198527023029338,,48.10035842293907,,87.09677419354838,,-8.996133313237646,38.99641577060932,80.36093139952769,,,,,1395,52,3,1,3
combined_severe,main,cross_training_protocol,10.865048794709232,1.379836282209611,2.470004169905504,0.14314061228643565,51.46953405017921,5.167260585215798,84.1816009557945,1.3068108878256042,-8.395044624803727,32.71206690561528,77.26651562661844,,,,,1395,52,3,3,
combined_severe,ensemble,cross_training_protocol,10.438906229226065,,2.1737507933500826,,50.82437275985663,,86.88172043010752,,-8.265155435875982,36.05734767025089,79.17645062023664,,,,,1395,52,3,1,3
perspective_pair,main,cross_training_protocol,11.055996725609106,1.2576988213682727,2.394386466912188,0.1043702591722384,51.64874551971326,4.860299636611877,85.48387096774194,2.0110050378645887,-8.661610258696918,33.83512544802868,78.34309717760635,,,,,2790,52,3,3,
perspective_pair,ensemble,cross_training_protocol,10.685315862167359,,2.1247233088977944,,49.96415770609319,,88.38709677419355,,-8.560592553269565,38.42293906810036,80.11548431225481,,,,,2790,52,3,1,3
projective_three,main,cross_training_protocol,10.992347415309148,1.2978680004224796,2.41959236790996,0.11223188779145124,51.58900836320191,4.939710225824627,85.04978096375946,1.7747197741397651,-8.572755047399188,33.46077260055755,77.98839250167649,,,,,4185,52,3,3,
projective_three,ensemble,cross_training_protocol,10.603179317853595,,2.1410658037152235,,50.250896057347674,,87.8853046594982,,-8.462113514138371,37.63440860215053,79.80732250646648,,,,,4185,52,3,1,3
