comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points,replicates,seed,rows_per_seed,ci95_low_pct_fs,ci95_high_pct_fs,relative_reduction_ci95_low_pct,relative_reduction_ci95_high_pct,groups,source_seed_count,scored_prediction_sets,ensemble_members
geoprr_no_geometry_fusion_minus_full,syncg,all_conditions,1.3452178036630347,0.7406831818034855,0.6045346218595491,-81.6185160823513,-12.538888888888891,-2.520833333333343,20000,20260907,24000,0.5741905292280796,0.6367088212898108,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,all_conditions,1.0104116772847784,0.7406831818034855,0.26972849548129296,-36.41617659314641,-4.319444444444457,-1.0361111111111256,20000,20260907,24000,0.24912963895139584,0.29200981242976204,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,all_conditions,0.9209714348583681,0.7406831818034855,0.1802882530548826,-24.34080555412366,-2.984722222222217,-0.49027777777779136,20000,20260907,24000,0.1642995131878497,0.1977303191226007,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,clean,0.6792956945192179,0.5943754074958534,0.08492028702336446,-14.287315045745219,-1.3499999999999943,-0.2083333333333428,20000,20260907,4000,0.06817957281389878,0.10305728556319635,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,clean,0.6972197515514957,0.5943754074958534,0.10284434405564236,-17.302927200324962,-1.5416666666666572,-0.21666666666666856,20000,20260907,4000,0.08623681744373866,0.12097595437080126,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,clean,0.681903640711211,0.5943754074958534,0.08752823321535773,-14.726085923393164,-1.38333333333334,-0.21666666666666856,20000,20260907,4000,0.07087364979734152,0.10567894408834429,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,blur_moderate,0.6814552207537172,0.5937024102234544,0.0877528105302627,-14.780605404184723,-1.3416666666666544,-0.17500000000001137,20000,20260907,4000,0.0709901533813773,0.10630119202802181,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,blur_moderate,0.6983418979385799,0.5937024102234544,0.10463948771512555,-17.6249053251682,-1.4666666666666544,-0.15833333333335986,20000,20260907,4000,0.08797478708567662,0.12309462574071907,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,blur_moderate,0.6838256221432104,0.5937024102234544,0.09012321191975599,-15.179862902331147,-1.3833333333333258,-0.17500000000001137,20000,20260907,4000,0.0735040590828315,0.10861072472410761,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,blur_severe,0.7044527569373832,0.6138011081496481,0.09065164878773496,-14.768896240837961,-1.4333333333333371,-0.14166666666666572,20000,20260907,4000,0.07347361833385871,0.10911236101442602,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,blur_severe,0.7212489451040405,0.6138011081496481,0.10744783695439222,-17.505318176811773,-1.5,-0.15833333333334565,20000,20260907,4000,0.09029552714827829,0.12589084059476333,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,blur_severe,0.7071110110968776,0.6138011081496481,0.09330990294722945,-15.201976944701125,-1.4249999999999972,-0.15833333333334565,20000,20260907,4000,0.0762565908816537,0.11179907919338541,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,perspective_moderate,1.2689445182084789,0.7384504876386807,0.5304940305697979,-71.83880834937787,-9.958333333333329,-0.9416666666666771,20000,20260907,4000,0.5019295673080951,0.5608164286063853,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,perspective_moderate,0.9249452530300185,0.7384504876386807,0.18649476539133786,-25.254877410628584,-2.60833333333332,-0.5166666666666941,20000,20260907,4000,0.16382651034124146,0.21184438825056312,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,perspective_moderate,0.9245834109610863,0.7384504876386807,0.18613292332240575,-25.205877230523182,-2.6750000000000114,-0.5750000000000028,20000,20260907,4000,0.16428242927010797,0.21033569191227455,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,perspective_severe,2.280197487395148,0.8787467073481025,1.4014507800470453,-159.48290540699367,-30.83333333333332,-6.3916666666666515,20000,20260907,4000,1.3256589913812673,1.4798929071999838,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,perspective_severe,1.4015064113697193,0.8787467073481025,0.522759704021617,-59.48923616444726,-8.816666666666649,-2.2833333333333456,20000,20260907,4000,0.4792126397522826,0.5679103023090154,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,perspective_severe,1.1629278702973767,0.8787467073481025,0.2841811629492742,-32.339371581474396,-5.2749999999999915,-0.6916666666666629,20000,20260907,4000,0.25677255181927305,0.31261486847543407,,,145,3,3,
geoprr_no_geometry_fusion_minus_full,syncg,combined_severe,2.456961144164263,1.0250229699651738,1.4319381741990886,-139.69815469088857,-30.316666666666656,-7.266666666666666,20000,20260907,4000,1.35564042814659,1.5127713570180785,,,145,3,3,
geoprr_fixed_routing_minus_full,syncg,combined_severe,1.6192078047148168,1.0250229699651738,0.5941848347496428,-57.96795312497544,-9.983333333333334,-2.88333333333334,20000,20260907,4000,0.5477213732428339,0.6429270486313502,,,145,3,3,
geoprr_no_relational_transport_minus_full,syncg,combined_severe,1.3654770539404464,1.0250229699651738,0.3404540839752723,-33.21428825998307,-5.766666666666666,-1.125,20000,20260907,4000,0.30739673719155375,0.3751531994023832,,,145,3,3,
geoprr_adapted_minus_frozen,industrial,all_conditions,2.406462022848741,11.623503306597366,-9.217041283748625,79.29658589693125,35.659099960175226,33.34129828753484,20000,20261107,8370,-12.861148949064466,-6.157165764095455,70.43568937478389,85.41880644470587,52,3,3,
geoprr_adapted_ensemble_minus_frozen_ensemble,industrial,all_conditions,2.1257863900471916,11.28661265965242,-9.160826269605227,81.16541734752278,39.95221027479092,38.01672640382317,20000,20261107,8370,-12.826925267804432,-6.0747840597084215,72.49372329566366,86.99445969178977,52,3,1,3
geoprr_adapted_minus_frozen,industrial,clean,2.4153603681193423,12.244004372240584,-9.82864400412124,80.27311739943993,37.204301075268816,33.09438470728793,20000,20261107,1395,-13.847894791894324,-6.4690917463128095,71.78041586674782,86.09923229122751,52,3,3,
geoprr_adapted_ensemble_minus_frozen_ensemble,industrial,clean,2.1287529160201566,11.971125328263074,-9.842372412242918,82.2176039624754,41.36200716845878,38.70967741935485,20000,20261107,1395,-13.87656763112543,-6.438364494362259,73.88586682938416,87.71446148096483,52,3,1,3
