comparison,dataset,scope,absolute_interval_source,bootstrap_seed,relative_interval_source
geoprr_minus_resnet18,syncg,all_conditions,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,syncg,all_conditions,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,syncg,all_conditions,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,syncg,all_conditions,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,syncg,all_conditions,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_resnet18,syncg,clean,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,syncg,clean,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,syncg,clean,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,syncg,clean,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,syncg,clean,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,syncg,clean,recomputed with existing paired_group_bootstrap_fast,20260907,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_resnet18,rf100,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,rf100,all_conditions,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,rf100,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,rf100,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,rf100,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,rf100,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_resnet18,rf100,clean,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,rf100,clean,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,rf100,clean,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,rf100,clean,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,rf100,clean,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,rf100,clean,recomputed with existing paired_group_bootstrap_fast,20261007,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_resnet18,industrial,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,industrial,all_conditions,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,industrial,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,industrial,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,industrial,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,industrial,all_conditions,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_resnet18,industrial,clean,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_efficientnet_b0,industrial,clean,published shared_full RawEff interval,,not published
geoprr_minus_mobilenet_v3_large,industrial,clean,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_yolo,industrial,clean,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_vdn,industrial,clean,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
geoprr_minus_deeplab,industrial,clean,recomputed with existing paired_group_bootstrap_fast,20261107,recomputed with existing paired_group_bootstrap_fast
