comparison,dataset,scope,definition,candidate_better_groups,tied_groups,candidate_worse_groups,candidate_better_group_fraction,median_group_delta_pct_fs
geoprr_minus_resnet18,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.6718918355942716
geoprr_minus_efficientnet_b0,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.8849892217363603
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.4838084120409012
geoprr_minus_yolo,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-5.006936008993086
geoprr_minus_vdn,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-4.269466631165862
geoprr_minus_deeplab,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-9.569116778045721
geoprr_minus_resnet18,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,62,0,83,0.42758620689655175,0.01538053446934795
geoprr_minus_efficientnet_b0,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,135,0,10,0.9310344827586207,-0.02410818386771263
geoprr_minus_mobilenet_v3_large,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,122,0,23,0.8413793103448276,-0.08284467124155936
geoprr_minus_yolo,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,33,0,112,0.22758620689655173,0.09198892436275846
geoprr_minus_vdn,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,136,0,9,0.9379310344827586,-0.30871570257837233
geoprr_minus_deeplab,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,9,0,136,0.06206896551724138,0.1809309867232609
geoprr_minus_resnet18,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,66,0,79,0.45517241379310347,0.009266717100984923
geoprr_minus_efficientnet_b0,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,135,0,10,0.9310344827586207,-0.02471268894427847
geoprr_minus_mobilenet_v3_large,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,122,0,23,0.8413793103448276,-0.0772738792950981
geoprr_minus_yolo,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,36,0,109,0.2482758620689655,0.09189759474865433
geoprr_minus_vdn,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,136,0,9,0.9379310344827586,-0.3343122865422431
geoprr_minus_deeplab,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,11,0,134,0.07586206896551724,0.17812501989064322
geoprr_minus_resnet18,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,76,0,69,0.5241379310344828,-0.0061576997959447155
geoprr_minus_efficientnet_b0,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,137,0,8,0.9448275862068966,-0.023998090501599956
geoprr_minus_mobilenet_v3_large,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,119,0,26,0.8206896551724138,-0.0785401720465197
geoprr_minus_yolo,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,53,0,92,0.36551724137931035,0.030543639051968052
geoprr_minus_vdn,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,141,0,4,0.9724137931034482,-0.46925932318000974
geoprr_minus_deeplab,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,25,0,120,0.1724137931034483,0.10073192591485292
geoprr_minus_resnet18,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.8741675638809545
geoprr_minus_efficientnet_b0,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.6978227194327531
geoprr_minus_mobilenet_v3_large,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.9086423019313444
geoprr_minus_yolo,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,142,0,3,0.9793103448275862,-0.8944073353759413
geoprr_minus_vdn,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,141,0,4,0.9724137931034482,-0.5684313593889615
geoprr_minus_deeplab,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,142,0,3,0.9793103448275862,-1.0075898748178584
geoprr_minus_resnet18,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-4.4007415477105045
geoprr_minus_efficientnet_b0,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.1934554402447537
geoprr_minus_mobilenet_v3_large,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-3.792396334683928
geoprr_minus_yolo,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-12.010019431239503
geoprr_minus_vdn,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-9.300532014490992
geoprr_minus_deeplab,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-24.98036583619525
geoprr_minus_resnet18,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-4.617648953704479
geoprr_minus_efficientnet_b0,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.2277752416284953
geoprr_minus_mobilenet_v3_large,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-3.9411741563803933
geoprr_minus_yolo,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-16.744944989502077
geoprr_minus_vdn,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-14.00908315199123
geoprr_minus_deeplab,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-31.03877105415183
geoprr_minus_resnet18,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.649554971178265
geoprr_minus_efficientnet_b0,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.4351598850950293
geoprr_minus_mobilenet_v3_large,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.377804054143745
geoprr_minus_yolo,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-6.49569359937985
geoprr_minus_vdn,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-5.04977678286657
geoprr_minus_deeplab,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-13.1105366676878
geoprr_minus_resnet18,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-3.301914421611133
geoprr_minus_efficientnet_b0,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.733117116959095
geoprr_minus_mobilenet_v3_large,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.9267650894949666
geoprr_minus_yolo,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-10.061864957524131
geoprr_minus_vdn,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-8.1118809843333
geoprr_minus_deeplab,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-19.287311472253
geoprr_minus_resnet18,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-3.3035398920592516
geoprr_minus_efficientnet_b0,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,33,0,2,0.9428571428571428,-1.2915664393445594
geoprr_minus_mobilenet_v3_large,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,32,0,3,0.9142857142857143,-2.4578952127032805
geoprr_minus_yolo,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,35,0,0,1.0,-13.594394284270752
geoprr_minus_vdn,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-15.113994065797742
geoprr_minus_deeplab,rf100,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,34,0,1,0.9714285714285714,-24.866728555967523
geoprr_minus_resnet18,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.7049342831085972
geoprr_minus_efficientnet_b0,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,22,0,13,0.6285714285714286,-0.008523712555566831
geoprr_minus_mobilenet_v3_large,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.4316345928499907
geoprr_minus_yolo,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,27,0,8,0.7714285714285715,-2.9945144177733605
geoprr_minus_vdn,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,30,0,5,0.8571428571428571,-8.086155420207344
geoprr_minus_deeplab,rf100,clean,compare row-mean errors within each source group after averaging source-seed errors,29,0,6,0.8285714285714286,-3.7569305897899503
geoprr_minus_resnet18,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,25,0,10,0.7142857142857143,-0.7956159954961646
geoprr_minus_efficientnet_b0,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,20,0,15,0.5714285714285714,-0.006326908866564285
geoprr_minus_mobilenet_v3_large,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,23,0,12,0.6571428571428571,-0.3536763767022708
geoprr_minus_yolo,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,27,0,8,0.7714285714285715,-3.040754795074463
geoprr_minus_vdn,rf100,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,31,0,4,0.8857142857142857,-6.456512336929638
