dataset,scope,candidate,reference,rows_per_seed,groups,candidate_minus_reference_pct_fs,ci95_low,ci95_high,better_groups,worse_groups,tied_groups,bootstrap_replicates
syncg,all_conditions,shared_full,original_geoprr,24000,145,-0.13192448458529882,-0.14940472704968566,-0.11582013205315012,140,5,0,20000
syncg,all_conditions,shared_full,raw_full,24000,145,-0.91881320618062,-0.9610256346538933,-0.8783101210996286,145,0,0,20000
syncg,clean,shared_full,original_geoprr,4000,145,-0.08597956812382906,-0.10407621914699881,-0.06931472499906474,128,17,0,20000
syncg,clean,shared_full,raw_full,4000,145,-0.023246308114613194,-0.025614173176193418,-0.020866244800102636,135,10,0,20000
rf100,all_conditions,shared_full,original_geoprr,906,35,-2.481528376251221,-4.774916463641038,-0.793455701779871,30,5,0,20000
rf100,all_conditions,shared_full,raw_full,906,35,-1.4004671964858821,-1.8858329963943603,-1.0285734020891932,33,2,0,20000
rf100,clean,shared_full,original_geoprr,151,35,-2.730542126983112,-5.694796913910164,-0.6624289919189352,30,5,0,20000
rf100,clean,shared_full,raw_full,151,35,0.007154318163446471,-0.012820100118861356,0.021551480640461324,22,13,0,20000
industrial,all_conditions,shared_full,original_geoprr,8370,52,0.7727705785271766,-0.36110427143203006,2.158333909958442,21,31,0,20000
industrial,all_conditions,shared_full,raw_full,8370,52,-2.0678529310633658,-2.647377486100978,-1.4427974688858882,38,14,0,20000
industrial,clean,shared_full,original_geoprr,1395,52,1.2931986457007383,0.016701407595019528,2.7977574243677448,21,31,0,20000
industrial,clean,shared_full,raw_full,1395,52,0.014788651871390501,-0.010696834026325375,0.041613044023841916,20,32,0,20000
