dataset,method,scope,seed,images,rows,groups,nmae_pct_fs,acc_at_2_pct,acc_at_5_pct,coverage_pct,failures
syncg,shared_full,all_conditions,20262020,4000,24000,145,0.755681396661673,93.77499999999999,98.85416666666667,100.0,0
syncg,shared_full,clean,20262020,4000,4000,145,0.6080007952981837,96.475,99.45,100.0,0
syncg,shared_full,blur_moderate,20262020,4000,4000,145,0.6127985680284581,96.35000000000001,99.35000000000001,100.0,0
syncg,shared_full,blur_severe,20262020,4000,4000,145,0.6340069453080623,96.075,99.3,100.0,0
syncg,shared_full,perspective_moderate,20262020,4000,4000,145,0.74405126115501,93.825,99.2,100.0,0
syncg,shared_full,perspective_severe,20262020,4000,4000,145,0.8922225676919188,91.225,98.175,100.0,0
syncg,shared_full,combined_severe,20262020,4000,4000,145,1.0430082424884044,88.7,97.65,100.0,0
syncg,shared_full,perspective_pair,20262020,4000,8000,145,0.8181369144234644,92.525,98.6875,100.0,0
syncg,shared_full,projective_three,20262020,4000,12000,145,0.8930940237784445,91.25,98.34166666666667,100.0,0
syncg,original_geoprr,all_conditions,20262020,4000,24000,145,0.8645094278262597,91.91666666666667,98.51666666666667,100.0,0
syncg,original_geoprr,clean,20262020,4000,4000,145,0.682084631399655,95.25,99.225,100.0,0
syncg,original_geoprr,blur_moderate,20262020,4000,4000,145,0.6808923457048863,95.05,99.25,100.0,0
syncg,original_geoprr,blur_severe,20262020,4000,4000,145,0.7032089062631863,94.475,99.25,100.0,0
syncg,original_geoprr,perspective_moderate,20262020,4000,4000,145,0.8670044840800404,91.4,98.825,100.0,0
syncg,original_geoprr,perspective_severe,20262020,4000,4000,145,1.0432019216306183,88.925,97.8,100.0,0
syncg,original_geoprr,combined_severe,20262020,4000,4000,145,1.2106642778791732,86.4,96.75,100.0,0
syncg,original_geoprr,perspective_pair,20262020,4000,8000,145,0.9551032028553292,90.1625,98.3125,100.0,0
syncg,original_geoprr,projective_three,20262020,4000,12000,145,1.0402902278632773,88.90833333333333,97.79166666666667,100.0,0
syncg,raw_full,all_conditions,20262020,4000,24000,145,1.7189519345904094,76.2375,93.6875,100.0,0
syncg,raw_full,clean,20262020,4000,4000,145,0.638380310157963,96.325,99.45,100.0,0
syncg,raw_full,blur_moderate,20262020,4000,4000,145,0.6442764973042777,96.325,99.35000000000001,100.0,0
syncg,raw_full,blur_severe,20262020,4000,4000,145,0.664851003262519,96.05,99.325,100.0,0
syncg,raw_full,perspective_moderate,20262020,4000,4000,145,1.4530905338964788,79.85,97.875,100.0,0
