seed,stage,status,checkpoint_seed,source_population,epoch_budget,completed_epochs,exported_epoch_rows,optimizer_steps,epoch_elapsed_seconds,wall_elapsed_seconds,image_condition_rows_min_per_epoch,image_condition_rows_max_per_epoch
20262020,raw_eff_base,reused,20262020,16000,60,60,0,,,,,
20262020,angular_warm,reused,20262020,12818,10,10,0,,,,,
20262020,remst,trained,20262020,16000,5,5,5,10000,1589.4361642999575,1593.6907277107239,48000,48000
20262020,r2mt,trained,20262020,16000,160,160,160,10080,131.34360509738326,651.5560119152069,48000,48000
20262020,unified,trained,20262020,16000,170,170,170,10140,741.9670239994302,1485.4153645038605,16000,96000
20262021,raw_eff_base,reused,20262021,16000,60,60,0,,,,,
20262021,angular_warm,reused,20262020,12818,10,10,0,,,,,
20262021,remst,trained,20262021,16000,5,5,5,10000,1585.5933351996355,1589.8950817584991,48000,48000
20262021,r2mt,trained,20262021,16000,160,160,160,10080,131.8230286007747,652.2977650165558,48000,48000
20262021,unified,trained,20262021,16000,170,170,170,10140,741.7747252965346,1484.7107977867126,16000,96000
20262022,raw_eff_base,reused,20262022,16000,60,60,0,,,,,
20262022,angular_warm,reused,20262020,12818,10,10,0,,,,,
20262022,remst,trained,20262022,16000,5,5,5,10000,1588.1761421994306,1592.553015947342,48000,48000
20262022,r2mt,trained,20262022,16000,160,160,160,10080,130.07013300294057,651.6088376045227,48000,48000
20262022,unified,trained,20262022,16000,170,170,170,10140,741.961508102715,1484.1362268924713,16000,96000
