method,seed,preprocessing,cohort,cohort_name,cohort_images,group_unit,scope,conditions,groups,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.10278773118947791,0.16483496826724894,0.07921146953405019,0.191636798088411,0.491636798088411,0.4151977732777595,0.5816882419586179,0.8149905204772949,1.0,0.11386761587570729,0.13623870759305962,0.06939014363906502,0.1584846769245775,0.3907320576856138,0.23121258610723874,0.30005299146166026,0.33841109451479634
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.09869911138324185,0.1636369626715109,0.08243727598566308,0.2007168458781362,0.5318996415770609,0.42037511467933647,0.6042936694622039,0.7888859510421753,1.0,0.10943705267081387,0.1294984772436091,0.08129353254576868,0.16968520353043662,0.4241386700516153,0.2049575279657848,0.2373524163743337,0.25125290977534576
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_moderate,blur_moderate,52,1395,1.0,0.09814087918071675,0.1629515061055495,0.07741935483870968,0.2050179211469534,0.5340501792114696,0.41779447793960545,0.6052870857715603,0.7923345565795898,1.0,0.1091561420172156,0.12825019107835225,0.07447403944168124,0.170167345369913,0.41749317134439934,0.20230640499070285,0.23342276628165667,0.24647254722813766
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,blur_severe,blur_severe,52,1395,1.0,0.10116150309074239,0.1654922569111975,0.06451612903225806,0.192831541218638,0.5082437275985663,0.42384158968925456,0.5951779568195342,0.7621556520462036,1.0,0.11456645873967178,0.13356750555487995,0.05798976219040935,0.1685818830286367,0.3961852139179376,0.20593754959592167,0.24305032312780994,0.2571573046241433
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_moderate,perspective_moderate,52,1395,1.0,0.09838171349264672,0.16107245236828607,0.07813620071684588,0.18853046594982079,0.5032258064516129,0.402133747935295,0.5888961756229395,0.8149905204772949,1.0,0.10933627269331572,0.1304945095235903,0.06439729324015865,0.14754900420413944,0.40849502742762894,0.208609742430182,0.25417180596698163,0.2716019611452252
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,perspective_severe,perspective_severe,52,1395,1.0,0.10666365415560819,0.1660250168056296,0.09247311827956989,0.1921146953405018,0.45161290322580644,0.4123108088970184,0.5574843537807462,0.7104213833808899,1.0,0.11488969301533565,0.13624834871282343,0.06414246684950674,0.15663249455012582,0.37335627303367463,0.2255737753906263,0.2660025035878194,0.2798866608228821
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,combined_severe,combined_severe,52,1395,1.0,0.11367952583391162,0.169696268293561,0.08028673835125448,0.17060931899641577,0.42078853046594983,0.4032118797302245,0.5299490475654601,0.6081762313842773,1.0,0.12582007611789117,0.14704577392128074,0.07404376756686554,0.13829213086421335,0.32472399033842725,0.23696332720490412,0.2755381750819583,0.2900515085582932
GeoPRR-Net,20262020,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,projective_pooled,perspective_moderate;perspective_severe;combined_severe,52,4185,1.0,0.10624163116072217,0.1656356086816314,0.08363201911589008,0.18375149342891278,0.45854241338112306,0.4074082612991332,0.5535493016242979,0.8149905204772949,1.0,0.11668201394218085,0.13918192162946116,0.06752784255217698,0.1474912098728262,0.3688584302665769,0.23842940421206155,0.2969830469175294,0.32598612447675224
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,52,8370,1.0,0.13368403172819335,0.20780956547967297,0.1002389486260454,0.21589008363201911,0.4353643966547192,0.47563600063323974,0.6816010284423826,0.9334620237350464,1.0,0.15941108754792122,0.19336087087789225,0.07319212617243502,0.15467641179926045,0.33385788205011796,0.34815586056766595,0.4190386856500805,0.4510099626638186
GeoPRR-Net,20262021,dual_view,industrial_1395,Industrial-1395,1395,acquisition cluster,clean,clean,52,1395,1.0,0.13677160368138389,0.2141691214732942,0.09032258064516129,0.22795698924731184,0.4437275985663082,0.4912633021672566,0.705805840492248,0.8939263820648193,1.0,0.1652733437751013,0.19647727773505114,0.05987777261848608,0.15597692919985878,0.33095347363777416,0.3219702974077505,0.37300425269215337,0.39346211841377693
