method,seed,preprocessing,dataset,dataset_name,dataset_samples,groups,group_unit,scope,conditions,rows,pooled_coverage,pooled_nmae,pooled_rmse,pooled_acc_at_1_percent,pooled_acc_at_2_percent,pooled_acc_at_5_percent,pooled_p95_absolute_error,pooled_p99_absolute_error,pooled_maximum_absolute_error,group_macro_coverage,group_macro_nmae,group_macro_rmse,group_macro_acc_at_1_percent,group_macro_acc_at_2_percent,group_macro_acc_at_5_percent,group_macro_p95_absolute_error,group_macro_p99_absolute_error,group_macro_maximum_absolute_error
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,882,1.0,0.13598327081557574,0.16194985953892357,0.045351473922902494,0.09070294784580499,0.20068027210884354,0.28779134869575496,0.3523564575513201,0.39049330552419026,1.0,0.13882384140990553,0.160260815166257,0.048611111111111105,0.0882936507936508,0.1884920634920635,0.26197156533646204,0.2982899211416169,0.3138536921569279
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,clean,clean,147,1.0,0.1321719945517797,0.16003125705684085,0.07482993197278912,0.11564625850340136,0.22448979591836735,0.28200109759966524,0.3549258286158243,0.36659607887268064,1.0,0.1330099074491275,0.15596267393558888,0.08333333333333333,0.11904761904761904,0.22023809523809523,0.239645818825752,0.2502833123422804,0.25294268572141254
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,blur_moderate,blur_moderate,147,1.0,0.13127000593274088,0.15688061632493241,0.061224489795918366,0.07482993197278912,0.20408163265306123,0.27424682331085204,0.3310805328687029,0.3596616744995117,1.0,0.13262915485513904,0.1529302194132323,0.07142857142857142,0.08333333333333333,0.19642857142857142,0.23225302361022857,0.24174359292397418,0.2441162352524106
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,blur_severe,blur_severe,147,1.0,0.13881492773016021,0.16474407403575522,0.027210884353741496,0.09523809523809523,0.19047619047619047,0.2913547480106353,0.3386788838704426,0.3748326619466146,1.0,0.14315547676274068,0.16274038163491783,0.041666666666666664,0.10119047619047619,0.18452380952380953,0.24061848425013677,0.2492305776889362,0.25138360104863605
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,perspective_moderate,perspective_moderate,147,1.0,0.13490174478684422,0.1628987832390878,0.047619047619047616,0.08843537414965986,0.2108843537414966,0.3011594732602437,0.3444821246465045,0.3636216402053833,1.0,0.13494000373457476,0.15776551590136917,0.041666666666666664,0.07738095238095238,0.20238095238095238,0.24712198360761,0.2648192507372962,0.26924356751971773
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,perspective_severe,perspective_severe,147,1.0,0.13018064559452114,0.15576911165583987,0.013605442176870748,0.10884353741496598,0.22448979591836735,0.27252263863881426,0.33421980603535945,0.39049330552419026,1.0,0.13550718308520066,0.15469854542688552,0.011904761904761904,0.09523809523809523,0.19642857142857142,0.23740655093722868,0.2547779134356786,0.2591207540602911
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,combined_severe,combined_severe,147,1.0,0.1485603062974082,0.1708928651455522,0.047619047619047616,0.061224489795918366,0.14965986394557823,0.2862668152650197,0.34161802951494824,0.35888288815816244,1.0,0.15370132257265073,0.16979520427328593,0.041666666666666664,0.05357142857142857,0.13095238095238096,0.24271089892254932,0.2548893007810153,0.25793390124563187
GeoPRR-Net,20262020,dual_view,field_gauge_external_roi,FieldGauge-External-ROI,147,21,provisional capture session,projective_pooled,perspective_moderate;perspective_severe;combined_severe,441,1.0,0.13788089889292454,0.16330380796180752,0.036281179138321996,0.08616780045351474,0.19501133786848074,0.2897460023562113,0.35188265085220355,0.39049330552419026,1.0,0.14138283646414201,0.16185455017907185,0.031746031746031744,0.07539682539682539,0.1765873015873016,0.2574101481806664,0.2948690943375466,0.30510279907120597
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,2604,1.0,0.10358934549212644,0.1678438119761183,0.11328725038402458,0.2457757296466974,0.5349462365591398,0.42020023137331003,0.505158573389053,0.8149905204772949,1.0,0.09881423292022412,0.12225755506310812,0.11292394180871983,0.2502228743772084,0.5493975959041634,0.2217802051435817,0.2941969704109159,0.372264174669981
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,clean,clean,434,1.0,0.09414753070137193,0.1590657864085589,0.1175115207373272,0.271889400921659,0.6082949308755761,0.407570049166679,0.4854976773262024,0.6549865007400513,1.0,0.09021599093909138,0.10327199144401104,0.10957140111474149,0.2526884144748838,0.6016166184287276,0.16113808585229245,0.18866428747862576,0.20221943430738018
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,blur_moderate,blur_moderate,434,1.0,0.09359908491213406,0.15799195387586495,0.10829493087557604,0.271889400921659,0.6152073732718893,0.39945453703403466,0.49092179954051973,0.6555572152137756,1.0,0.09057752415688498,0.10432218622697023,0.10048049202383241,0.29582218345431877,0.6080798521646886,0.1634068477488377,0.19153063488819377,0.2025307076356628
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,blur_severe,blur_severe,434,1.0,0.09695436535959352,0.16123279665484308,0.09907834101382489,0.2488479262672811,0.5852534562211982,0.41222038596868477,0.5091325283050538,0.6166927814483643,1.0,0.09238610620891198,0.10676682564688202,0.09134153373054006,0.27449314251639834,0.5806191169872515,0.17239231782311745,0.20091110758272082,0.20955985806205055
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,perspective_moderate,perspective_moderate,434,1.0,0.09380279329491238,0.15752305856599144,0.12211981566820276,0.2534562211981567,0.5460829493087558,0.40028446137905116,0.5005378133058549,0.8149905204772949,1.0,0.08884528706688433,0.10942241930378821,0.11501599176017781,0.23572100908253127,0.5879081809887892,0.1769341565749862,0.24862271236547012,0.2794448437338526
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,perspective_severe,perspective_severe,434,1.0,0.11295961447820617,0.1753160683142471,0.12672811059907835,0.22119815668202766,0.44930875576036866,0.43171328008174864,0.49955015242099765,0.6992177367210388,1.0,0.10685267438063052,0.13120695416198191,0.11873500002464063,0.2062716529418432,0.5004574006204612,0.2254642973734574,0.28699520678858864,0.3151356532492421
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,combined_severe,combined_severe,434,1.0,0.1300726842065406,0.19292650650044985,0.10599078341013825,0.2073732718894009,0.4055299539170507,0.4468365356326102,0.5248405873775482,0.6081762313842773,1.0,0.12400781476894154,0.15182857698681348,0.14239923219838654,0.23634084379327505,0.4177044062350616,0.26258523726598787,0.3087286217289891,0.3308724348788912
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_a,FieldGauge-ROI Test-A,434,11,source-directory group,projective_pooled,perspective_moderate;perspective_severe;combined_severe,1302,1.0,0.11227836399321972,0.175850196379019,0.11827956989247312,0.22734254992319508,0.46697388632872505,0.4282492309808732,0.521337131857872,0.8149905204772949,1.0,0.10656859207215214,0.13307970032704874,0.12538340799440165,0.22611116860588318,0.5020233292814373,0.24490714220404622,0.3201856519755992,0.36487585925243116
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,all_conditions,clean;blur_moderate;blur_severe;perspective_moderate;perspective_severe;combined_severe,4884,1.0,0.09636556296787369,0.16372885286756025,0.06715806715806716,0.180999180999181,0.5210892710892711,0.43615281730890243,0.6100833529233933,0.8079308271408081,1.0,0.09594293969031488,0.1187051285326757,0.06726453880010652,0.1817292457631035,0.5158180055686394,0.2041034674465656,0.30512502687561516,0.3455771729052067
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,clean,clean,814,1.0,0.09508101825075595,0.16665625743527845,0.06511056511056511,0.17813267813267813,0.5466830466830467,0.4531894996762259,0.6241904366016389,0.7888859510421753,1.0,0.09525713910603194,0.11613563790680925,0.06359891400589075,0.1772029012179491,0.5406214019983998,0.19263551572524013,0.2505534465006291,0.27644705653935675
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,blur_moderate,blur_moderate,814,1.0,0.09457964709228596,0.16659082558004304,0.06388206388206388,0.1928746928746929,0.5503685503685504,0.45278115868568286,0.6249937337636947,0.7923345565795898,1.0,0.09472771836057783,0.11549656399498835,0.06336823193526339,0.19223289706189844,0.5447883268048594,0.1922572119232267,0.24772657057362787,0.27311468657851223
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,blur_severe,blur_severe,814,1.0,0.09660480082209888,0.16785203006739152,0.052825552825552825,0.18058968058968058,0.5245700245700246,0.4521167039871215,0.6131560856103897,0.7621556520462036,1.0,0.09674718370736732,0.11767635962023903,0.056785538143267277,0.18109166749043631,0.5169910418436493,0.1879724456840381,0.25973762438842646,0.28939828898757697
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,perspective_moderate,perspective_moderate,814,1.0,0.09422791345034903,0.16260505256141813,0.060196560196560195,0.171990171990172,0.5331695331695332,0.43053187578916485,0.6414910566806793,0.8079308271408081,1.0,0.09372239719453102,0.11344960244781359,0.060424166956314695,0.1727308559353703,0.5262375717680012,0.1855934614142403,0.24604399043898276,0.2697646890282631
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,perspective_severe,perspective_severe,814,1.0,0.09905991395717116,0.16269419562366397,0.08845208845208845,0.19164619164619165,0.49385749385749383,0.41679718494415174,0.5866175198554994,0.7104213833808899,1.0,0.09766168869106522,0.11964840916602107,0.08896616379516517,0.19379507671231339,0.4892247395463004,0.21320957397613674,0.2662423364871442,0.2823039170891047
GeoPRR-Net,20262020,dual_view,field_gauge_roi_test_b,FieldGauge-ROI Test-B,814,20,source-directory group,combined_severe,combined_severe,814,1.0,0.09864008423458118,0.15566600095175556,0.07248157248157248,0.17076167076167076,0.47788697788697787,0.3896667331457135,0.5360357284545899,0.6032586693763733,1.0,0.09754151108231593,0.12052833036563226,0.0704442179647378,0.17332207616065345,0.477044951450627,0.21683632636778055,0.2789647474420815,0.30132348676025866
