task,method,mode,batch_size,precision,autocast,warmup_calls,timed_calls,successful_calls,failed_calls,parameters,mean_ms,min_ms,p50_ms,p90_ms,p95_ms,max_ms,throughput_rois_per_second,baseline_allocated_bytes,peak_allocated_bytes,peak_reserved_bytes
deeplab_raw,deeplab,automatic_geometry,1,float32,False,20,100,100,0,50047304,30.956639000000006,29.0811,30.6619,32.17408,33.80674,38.8026,32.30324842435252,236353024,321348096,360710144
efficientnet_b0_adapted_ensemble,efficientnet_b0,adapted_three_seed_equal_weight,1,float32,False,20,100,100,0,12543354,17.877583,16.6165,17.800150000000002,18.718420000000002,18.911665,19.796,55.93597300037706,60535808,74949120,92274688
efficientnet_b0_adapted_single,efficientnet_b0,adapted_single_seed,1,float32,False,20,100,100,0,4181118,5.969919999999999,5.2374,5.7852,6.744300000000001,7.031744999999999,7.3999,167.50643224699832,26557440,40970240,62914560
efficientnet_b0_raw,efficientnet_b0,source_only,1,float32,False,20,100,100,0,4008829,5.257891,4.613,5.13025,6.024380000000001,6.356,6.839,190.1903253604915,24803328,39221248,60817408
efficientnet_b0_sarn_v2,efficientnet_b0,source_only,1,float32,False,20,100,100,0,4008829,5.805815,5.0888,5.61695,6.60069,6.755249999999999,8.5412,172.2411065457649,24803328,39221248,60817408
geoprr_adapted_ensemble,geoprr,adapted_three_seed_equal_weight,1,float32,False,20,100,100,0,15685947,155.206055,132.8592,154.03555,166.49304,173.31498499999998,180.8085,6.443047598883949,73252352,89344000,102760448
geoprr_adapted_single,geoprr,adapted_single_seed,1,float32,False,20,100,100,0,5228649,48.03882000000001,43.0161,47.08735,54.23625000000001,56.973,61.8418,20.816497990583446,30796288,46876672,69206016
geoprr_raw,geoprr,source_only,1,float32,False,20,100,100,0,4885096,49.27996999999999,42.3595,47.89515,58.03929,62.086515,70.4955,20.292220145426228,29399552,45479936,69206016
mobilenet_v3_large_adapted_ensemble,mobilenet_v3_large,adapted_three_seed_equal_weight,1,float32,False,20,100,100,0,13003926,16.037039,14.2516,15.99625,16.78405,16.942375000000002,18.0567,62.35565056616748,62160896,94733312,121634816
mobilenet_v3_large_adapted_single,mobilenet_v3_large,adapted_single_seed,1,float32,False,20,100,100,0,4334642,5.376195000000001,4.6243,5.1061,6.26866,6.544905,7.7006,186.00515792302917,27099136,59671040,75497472
mobilenet_v3_large_raw,mobilenet_v3_large,source_only,1,float32,False,20,100,100,0,4203313,4.792527,4.2921,4.543950000000001,5.6401,5.903675,6.5388,208.65818804985346,26560512,59136512,75497472
mobilenet_v3_large_sarn_v2,mobilenet_v3_large,source_only,1,float32,False,20,100,100,0,4203313,5.416615,4.6808,5.12265,6.34989,6.581705,8.9638,184.61714557892705,26560512,59136512,75497472
resnet18_adapted_ensemble,resnet18,adapted_three_seed_equal_weight,1,float32,False,20,100,100,0,33753030,9.919021,8.6745,10.0935,10.70385,10.92051,11.3208,100.81640113474907,147517952,176221184,192937984
resnet18_adapted_single,resnet18,adapted_single_seed,1,float32,False,20,100,100,0,11251010,3.4027289999999994,2.9587,3.1712499999999997,4.15425,4.374985,5.028,293.88176372552743,54633984,83336704,102760448
resnet18_raw,resnet18,source_only,1,float32,False,20,100,100,0,11177025,2.8887309999999995,2.5137,2.72515,3.53441,3.83997,4.8372,346.1727658269324,53282304,81987072,100663296
resnet18_sarn_v2,resnet18,source_only,1,float32,False,20,100,100,0,11177025,3.318973000000001,2.8856,3.088,4.26459,4.429375,4.952,301.2980220086152,53282304,81987072,100663296
vdn_raw,vdn,automatic_geometry,1,float32,False,20,100,100,0,25077482,14.14663,12.5073,13.75765,15.93931,16.445449999999997,23.4177,70.68821337661338,135419904,165926912,199229440
yolo_raw,yolo,automatic_geometry,1,float32,False,20,100,100,0,9700263,6.553860000000001,5.7411,6.22695,7.70188,7.933615,8.114,152.5818372684189,72406528,88387584,104857600
