comparison,dataset,scope,candidate_nmae_pct_fs,reference_nmae_pct_fs,candidate_minus_reference_pct_fs,relative_error_reduction_pct,acc_at_2_gain_percentage_points,acc_at_5_gain_percentage_points,replicates,seed,rows_per_seed,ci95_low_pct_fs,ci95_high_pct_fs,relative_reduction_ci95_low_pct,relative_reduction_ci95_high_pct,groups,source_seed_count
geoprr_minus_resnet18,syncg,all_conditions,0.8726076663887843,2.4913783675129566,-1.618770701124172,64.97490394203456,21.381944444444436,12.563888888888886,20000,20260907,24000,-1.6979853294931886,-1.541849661184238,63.51872894388177,66.38301882341459,145,3
geoprr_minus_resnet18,syncg,clean,0.6803549756196825,0.6153662492897615,0.06498872632992098,-10.560983220143962,-0.30000000000000027,0.23333333333331874,20000,20260908,4000,0.03306549478552111,0.09447271708270874,-16.22455582519614,-5.06643377299212,145,3
geoprr_minus_resnet18,syncg,blur_moderate,0.6819986990337821,0.619421384740809,0.0625773142929731,-10.102543411406113,-0.3583333333333383,0.28333333333333544,20000,20260909,4000,0.0283400254778353,0.09236287798850493,-15.824470127934092,-4.319022161821762,145,3
geoprr_minus_resnet18,syncg,blur_severe,0.7049512423059899,0.642998076042016,0.06195316626397404,-9.635046911077506,-0.39166666666666794,0.374999999999992,20000,20260910,4000,0.025335182736211395,0.09444539883172914,-15.583938644005949,-3.6808405368156185,145,3
geoprr_minus_resnet18,syncg,perspective_moderate,0.8715777790626952,1.7287715648256388,-0.8571937857629436,49.58398224518454,16.866666666666664,3.0749999999999833,20000,20260911,4000,-0.9241756831340274,-0.7933656240121051,47.422448685601125,51.74178029293323,145,3
geoprr_minus_resnet18,syncg,perspective_severe,1.055643228172077,5.514728600361272,-4.459085372189195,80.85774831960141,56.69166666666668,35.475,20000,20260912,4000,-4.663877808779665,-4.261175246758994,79.65996398839602,81.93146127920528,145,3
geoprr_minus_resnet18,syncg,combined_severe,1.2411200741384791,5.826984329818242,-4.5858642556797635,78.70047345438472,55.78333333333334,35.94166666666667,20000,20260913,4000,-4.791812936601738,-4.385078168273233,77.33472798225306,79.97400860916105,145,3
geoprr_minus_resnet18,syncg,perspective_pair,0.963610503617386,3.6217500825934557,-2.6581395789760696,73.39378804052194,36.77916666666666,19.275,20000,20260914,8000,-2.7844827050423206,-2.5361328127595204,71.95848854153388,74.72951854553733,145,3
geoprr_minus_resnet18,syncg,projective_three,1.0561136937910836,4.356828165001717,-3.3007144712106333,75.75957430970502,43.11388888888889,24.830555555555566,20000,20260915,12000,-3.449494737504409,-3.1557085757596246,74.35985596181783,77.02904295243867,145,3
geoprr_minus_efficientnet_b0,syncg,all_conditions,0.8726076663887843,1.6594963879841056,-0.7868887215953212,47.41732053729893,15.774999999999984,4.526388888888877,20000,20260907,24000,-0.8274363999124479,-0.7473656879874886,45.485677155974386,49.27689058559342,145,3
geoprr_minus_efficientnet_b0,syncg,clean,0.6803549756196825,0.6176217156104666,0.06273326000921586,-10.15723029544215,-1.275000000000004,-0.24166666666668446,20000,20260908,4000,0.04589218410831133,0.08124361269973424,-13.021614643850898,-7.4545558447383415,145,3
geoprr_minus_efficientnet_b0,syncg,blur_moderate,0.6819986990337821,0.6171220319525544,0.06487666708122766,-10.512777655330172,-1.2500000000000067,-0.17499999999999183,20000,20260909,4000,0.04830095650288828,0.08337372836405885,-13.408261054658015,-7.847299575124539,145,3
geoprr_minus_efficientnet_b0,syncg,blur_severe,0.7049512423059899,0.637514297257325,0.0674369450486649,-10.57810708540781,-1.4250000000000096,-0.1583333333333381,20000,20260910,4000,0.05023997869284131,0.08601808594704505,-13.446053599907607,-7.839839553367518,145,3
geoprr_minus_efficientnet_b0,syncg,perspective_moderate,0.8715777790626952,1.44478799829397,-0.5732102192312748,39.67434806408491,13.008333333333333,0.6999999999999895,20000,20260911,4000,-0.6064485753276257,-0.5399598500388273,37.3223675768848,41.93501898496603,145,3
geoprr_minus_efficientnet_b0,syncg,perspective_severe,1.055643228172077,3.2124326526095497,-2.1567894244374726,67.13882149982044,43.38333333333333,13.133333333333342,20000,20260912,4000,-2.2746478900653684,-2.045831035304777,65.30769601053065,68.88416247217856,145,3
geoprr_minus_efficientnet_b0,syncg,combined_severe,1.2411200741384791,3.427499632180765,-2.1863795580422862,63.789344789839994,42.20833333333335,13.900000000000002,20000,20260913,4000,-2.3100924310323947,-2.067860929860228,61.62632259789852,65.85548716807399,145,3
geoprr_minus_efficientnet_b0,syncg,perspective_pair,0.963610503617386,2.3286103254517596,-1.3649998218343737,58.61864507405542,28.195833333333333,6.91666666666666,20000,20260914,8000,-1.4318538898509272,-1.30116244254073,56.70561380221144,60.450673248739015,145,3
geoprr_minus_efficientnet_b0,syncg,projective_three,1.0561136937910836,2.694906761028095,-1.6387930672370112,60.81075200582521,32.86666666666667,9.244444444444467,20000,20260915,12000,-1.7205879536723254,-1.5607958438013856,58.856421307177214,62.662211073592474,145,3
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,0.8726076663887843,2.333959102021563,-1.4613514356327784,62.612555394266614,21.21249999999999,10.383333333333322,20000,20260907,24000,-1.5360122495384654,-1.3895356234036043,60.897658762965904,64.25968826057799,145,3
geoprr_minus_mobilenet_v3_large,syncg,clean,0.6803549756196825,0.6918110633423075,-0.011456087722624964,1.6559561316174705,0.2083333333333326,0.024999999999986144,20000,20260908,4000,-0.03985183085243244,0.015876067169989107,-2.3373804787512866,5.596635621116615,145,3
geoprr_minus_mobilenet_v3_large,syncg,blur_moderate,0.6819986990337821,0.6910667513074349,-0.009068052273652864,1.3121818198454693,0.33333333333334103,0.09166666666667878,20000,20260909,4000,-0.03727336348058102,0.017579721257527138,-2.592214031364587,5.2411637930931505,145,3
geoprr_minus_mobilenet_v3_large,syncg,blur_severe,0.7049512423059899,0.7158032053280443,-0.010851963022054378,1.5160539854080493,0.22499999999999742,0.19166666666665666,20000,20260910,4000,-0.03910485990548426,0.015747372988311557,-2.2539853725404884,5.27674443368512,145,3
geoprr_minus_mobilenet_v3_large,syncg,perspective_moderate,0.8715777790626952,1.7295277741404147,-0.8579499950777195,49.60602587050825,18.59166666666666,2.925,20000,20260911,4000,-0.936291110343212,-0.790981786887185,46.75095452384547,52.46236742595833,145,3
geoprr_minus_mobilenet_v3_large,syncg,perspective_severe,1.055643228172077,4.929386369891963,-3.8737431417198867,78.58469292202767,54.53333333333333,28.99166666666666,20000,20260912,4000,-4.063446025290489,-3.6876742143332795,77.2140016996433,79.84586979178606,145,3
geoprr_minus_mobilenet_v3_large,syncg,combined_severe,1.2411200741384791,5.246159448119209,-4.00503937398073,76.34231123906402,53.38333333333335,30.075000000000006,20000,20260913,4000,-4.209417810190618,-3.806549049291445,74.76675288658275,77.80882578524458,145,3
geoprr_minus_mobilenet_v3_large,syncg,perspective_pair,0.963610503617386,3.32945707201619,-2.3658465683988035,71.0580288985717,36.5625,15.958333333333341,20000,20260914,8000,-2.4880894150012893,-2.248669621413743,69.34369032251557,72.63930492246907,145,3
geoprr_minus_mobilenet_v3_large,syncg,projective_three,1.0561136937910836,3.968357864050529,-2.9122441702594455,73.38663170077353,42.16944444444445,20.663888888888906,20000,20260915,12000,-3.058488464851921,-2.773881568442455,71.8014010223732,74.85583739024145,145,3
geoprr_minus_yolo,syncg,all_conditions,0.8726076663887843,5.747765564792487,-4.875157898403702,84.81831493382613,23.819444444444436,16.23888888888888,20000,20260907,24000,-5.063614863457463,-4.684845841535248,83.93984848288717,85.6289026571371,145,3
geoprr_minus_yolo,syncg,clean,0.6803549756196825,0.5126651848584897,0.16768979076119284,-32.70941653810178,-2.9000000000000137,-0.4666666666666708,20000,20260908,4000,0.13087791018890918,0.20145859258277593,-41.167568754575385,-24.006684384928676,145,3
geoprr_minus_yolo,syncg,blur_moderate,0.6819986990337821,0.5294451618141234,0.15255353721965867,-28.81385046506797,-2.8000000000000025,-0.4666666666666597,20000,20260909,4000,0.1021970943056639,0.19635757877920032,-40.2164870516158,-17.55404763261159,145,3
