comparison,dataset,scope,definition,candidate_better_groups,tied_groups,candidate_worse_groups,candidate_better_group_fraction,median_group_delta_pct_fs
geoprr_minus_resnet18,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.5533463758923536
geoprr_minus_resnet18,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,32,0,113,0.2206896551724138,0.08792689302928991
geoprr_minus_resnet18,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,34,0,111,0.23448275862068965,0.0867851193826847
geoprr_minus_resnet18,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,26,0,119,0.1793103448275862,0.09269614671877202
geoprr_minus_resnet18,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.760710992192002
geoprr_minus_resnet18,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-4.269394268775044
geoprr_minus_resnet18,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-4.386588183922309
geoprr_minus_resnet18,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.4937413113905245
geoprr_minus_resnet18,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-3.1429808836845625
geoprr_minus_efficientnet_b0,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-0.7397055819747966
geoprr_minus_efficientnet_b0,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,35,0,110,0.2413793103448276,0.05359576388182704
geoprr_minus_efficientnet_b0,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,32,0,113,0.2206896551724138,0.05742752730845531
geoprr_minus_efficientnet_b0,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,26,0,119,0.1793103448275862,0.055751811737537404
geoprr_minus_efficientnet_b0,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,144,0,1,0.993103448275862,-0.5807749071563121
geoprr_minus_efficientnet_b0,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.9971236689404266
geoprr_minus_efficientnet_b0,syncg,combined_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-2.0627841431797913
geoprr_minus_efficientnet_b0,syncg,perspective_pair,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.2868191666511901
geoprr_minus_efficientnet_b0,syncg,projective_three,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.5467064653190359
geoprr_minus_mobilenet_v3_large,syncg,all_conditions,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-1.3658716832110287
geoprr_minus_mobilenet_v3_large,syncg,clean,compare row-mean errors within each source group after averaging source-seed errors,73,0,72,0.503448275862069,-0.0003788142842836194
geoprr_minus_mobilenet_v3_large,syncg,blur_moderate,compare row-mean errors within each source group after averaging source-seed errors,71,0,74,0.4896551724137931,0.004288901659251817
geoprr_minus_mobilenet_v3_large,syncg,blur_severe,compare row-mean errors within each source group after averaging source-seed errors,68,0,77,0.4689655172413793,0.005590800333847568
geoprr_minus_mobilenet_v3_large,syncg,perspective_moderate,compare row-mean errors within each source group after averaging source-seed errors,144,0,1,0.993103448275862,-0.7657456310254896
geoprr_minus_mobilenet_v3_large,syncg,perspective_severe,compare row-mean errors within each source group after averaging source-seed errors,145,0,0,1.0,-3.6300950577949798
