method,seed,phase,epoch,accounting_scope,optimization_phase,phase_epoch,learning_rate,training_hours,population,unique_training_images,image_condition_rows,optimizer_steps,validation_and_other_epoch_hours,recorded_epoch_hours
resnet18,20262020,source_model,1,final_recipe,initial,1,0.0003,0.015602489222203277,full,16000,16000,250,0.0,0.01560249544447288
resnet18,20262020,source_model,2,final_recipe,initial,2,0.00029917828430524096,0.015438092305557802,full,16000,16000,250,0.0,0.015438098944464905
resnet18,20262020,source_model,3,final_recipe,initial,3,0.0002967221401100708,0.015481936305554377,full,16000,16000,250,0.0,0.015481942750047892
resnet18,20262020,source_model,4,final_recipe,initial,4,0.00029265847744427303,0.015458718027867791,full,16000,16000,250,0.0,0.015458723805560213
resnet18,20262020,source_model,5,final_recipe,initial,5,0.0002870318186463901,0.015357210250028099,full,16000,16000,250,0.0,0.01535721811103738
resnet18,20262020,source_model,6,final_recipe,initial,6,0.0002799038105676658,0.015384584055540875,full,16000,16000,250,0.0,0.015384589666630038
resnet18,20262020,source_model,7,final_recipe,initial,7,0.0002713525491562421,0.015344072500010953,full,16000,16000,250,0.0,0.015344079305650666
resnet18,20262020,source_model,8,final_recipe,initial,8,0.00026147172382160914,0.015273209027816644,full,16000,16000,250,0.0,0.015273215416689507
resnet18,20262020,source_model,9,final_recipe,initial,9,0.00025036959095382875,0.015375841305487685,full,16000,16000,250,0.0,0.015375845888888257
resnet18,20262020,source_model,10,final_recipe,initial,10,0.000238167787843871,0.015388037277799513,full,16000,16000,250,0.0,0.015388042055613671
resnet18,20262020,source_model,11,final_recipe,initial,11,0.00022500000000000002,0.015319479694460621,full,16000,16000,250,0.0,0.015319484111128582
resnet18,20262020,source_model,12,final_recipe,initial,12,0.0002110104964613701,0.015372301888807366,full,16000,16000,250,0.0,0.015372306277794349
resnet18,20262020,source_model,13,final_recipe,initial,13,0.00019635254915624216,0.015369622527828647,full,16000,16000,250,0.0,0.015369627388944436
resnet18,20262020,source_model,14,final_recipe,initial,14,0.00018118675362266393,0.01548638377765504,full,16000,16000,250,0.0,0.0154863897498904
resnet18,20262020,source_model,15,final_recipe,initial,15,0.0001656792694901481,0.015473564416558172,full,16000,16000,250,0.0,0.015473569527708201
resnet18,20262020,source_model,16,final_recipe,initial,16,0.0001500000000000001,0.015364716166578647,full,16000,16000,250,0.0,0.015364720944392805
resnet18,20262020,source_model,17,final_recipe,initial,17,0.00013432073050985205,0.015353431111175774,full,16000,16000,250,0.0,0.015353435888860581
resnet18,20262020,source_model,18,final_recipe,initial,18,0.00011881324637733612,0.015367120861127558,full,16000,16000,250,0.0,0.01536712569443302
resnet18,20262020,source_model,19,final_recipe,initial,19,0.00010364745084375793,0.015337743499937157,full,16000,16000,250,0.0,0.015337748416673598
resnet18,20262020,source_model,20,final_recipe,initial,20,8.898950353863e-05,0.015307478861133051,full,16000,16000,250,0.0,0.015307484277808625
