method,seed,phase,epoch,metric,value
resnet18,20262020,source_model,1,loss,0.07646698663383722
resnet18,20262020,source_model,1,nmae,0.09691293217241764
resnet18,20262020,source_model,1,samples,16000.0
resnet18,20262020,source_model,1,optimizer_steps,250
resnet18,20262020,source_model,1,skipped_optimizer_steps,0
resnet18,20262020,source_model,1,unique_training_images,16000
resnet18,20262020,source_model,1,image_condition_rows,16000
resnet18,20262020,source_model,2,loss,0.03523765943571925
resnet18,20262020,source_model,2,nmae,0.05336058040708303
resnet18,20262020,source_model,2,samples,16000.0
resnet18,20262020,source_model,2,optimizer_steps,250
resnet18,20262020,source_model,2,skipped_optimizer_steps,0
resnet18,20262020,source_model,2,unique_training_images,16000
resnet18,20262020,source_model,2,image_condition_rows,16000
resnet18,20262020,source_model,3,loss,0.023246418196707964
resnet18,20262020,source_model,3,nmae,0.03952227131277323
resnet18,20262020,source_model,3,samples,16000.0
resnet18,20262020,source_model,3,optimizer_steps,250
resnet18,20262020,source_model,3,skipped_optimizer_steps,0
resnet18,20262020,source_model,3,unique_training_images,16000
resnet18,20262020,source_model,3,image_condition_rows,16000
resnet18,20262020,source_model,4,loss,0.017977497059851886
resnet18,20262020,source_model,4,nmae,0.03338710676878691
resnet18,20262020,source_model,4,samples,16000.0
resnet18,20262020,source_model,4,optimizer_steps,250
resnet18,20262020,source_model,4,skipped_optimizer_steps,0
resnet18,20262020,source_model,4,unique_training_images,16000
resnet18,20262020,source_model,4,image_condition_rows,16000
resnet18,20262020,source_model,5,loss,0.014489720799028874
resnet18,20262020,source_model,5,nmae,0.02924762497097254
resnet18,20262020,source_model,5,samples,16000.0
resnet18,20262020,source_model,5,optimizer_steps,250
resnet18,20262020,source_model,5,skipped_optimizer_steps,0
resnet18,20262020,source_model,5,unique_training_images,16000
resnet18,20262020,source_model,5,image_condition_rows,16000
resnet18,20262020,source_model,6,loss,0.012855185257270932
resnet18,20262020,source_model,6,nmae,0.02660373865440488
resnet18,20262020,source_model,6,samples,16000.0
resnet18,20262020,source_model,6,optimizer_steps,250
resnet18,20262020,source_model,6,skipped_optimizer_steps,0
resnet18,20262020,source_model,6,unique_training_images,16000
resnet18,20262020,source_model,6,image_condition_rows,16000
resnet18,20262020,source_model,7,loss,0.010825340467505157
resnet18,20262020,source_model,7,nmae,0.023335145335644483
resnet18,20262020,source_model,7,samples,16000.0
resnet18,20262020,source_model,7,optimizer_steps,250
resnet18,20262020,source_model,7,skipped_optimizer_steps,0
resnet18,20262020,source_model,7,unique_training_images,16000
resnet18,20262020,source_model,7,image_condition_rows,16000
resnet18,20262020,source_model,8,loss,0.009976185533218086
resnet18,20262020,source_model,8,nmae,0.022390294019132853
resnet18,20262020,source_model,8,samples,16000.0
resnet18,20262020,source_model,8,optimizer_steps,250
resnet18,20262020,source_model,8,skipped_optimizer_steps,0
resnet18,20262020,source_model,8,unique_training_images,16000
resnet18,20262020,source_model,8,image_condition_rows,16000
resnet18,20262020,source_model,9,loss,0.009004138446412981
resnet18,20262020,source_model,9,nmae,0.020493930794298648
resnet18,20262020,source_model,9,samples,16000.0
resnet18,20262020,source_model,9,optimizer_steps,250
resnet18,20262020,source_model,9,skipped_optimizer_steps,0
resnet18,20262020,source_model,9,unique_training_images,16000
resnet18,20262020,source_model,9,image_condition_rows,16000
resnet18,20262020,source_model,10,loss,0.007578813280910254
resnet18,20262020,source_model,10,nmae,0.018734332133084536
resnet18,20262020,source_model,10,samples,16000.0
resnet18,20262020,source_model,10,optimizer_steps,250
resnet18,20262020,source_model,10,skipped_optimizer_steps,0
resnet18,20262020,source_model,10,unique_training_images,16000
resnet18,20262020,source_model,10,image_condition_rows,16000
resnet18,20262020,source_model,11,loss,0.007033225815277547
resnet18,20262020,source_model,11,nmae,0.017720974937081337
resnet18,20262020,source_model,11,samples,16000.0
resnet18,20262020,source_model,11,optimizer_steps,250
resnet18,20262020,source_model,11,skipped_optimizer_steps,0
resnet18,20262020,source_model,11,unique_training_images,16000
resnet18,20262020,source_model,11,image_condition_rows,16000
resnet18,20262020,source_model,12,loss,0.00637772954069078
resnet18,20262020,source_model,12,nmae,0.016477030254900455
resnet18,20262020,source_model,12,samples,16000.0
resnet18,20262020,source_model,12,optimizer_steps,250
resnet18,20262020,source_model,12,skipped_optimizer_steps,0
resnet18,20262020,source_model,12,unique_training_images,16000
resnet18,20262020,source_model,12,image_condition_rows,16000
resnet18,20262020,source_model,13,loss,0.00635950692044571
resnet18,20262020,source_model,13,nmae,0.016146602507680654
resnet18,20262020,source_model,13,samples,16000.0
resnet18,20262020,source_model,13,optimizer_steps,250
resnet18,20262020,source_model,13,skipped_optimizer_steps,0
resnet18,20262020,source_model,13,unique_training_images,16000
resnet18,20262020,source_model,13,image_condition_rows,16000
resnet18,20262020,source_model,14,loss,0.005714563303627074
resnet18,20262020,source_model,14,nmae,0.015049078177660704
resnet18,20262020,source_model,14,samples,16000.0
resnet18,20262020,source_model,14,optimizer_steps,250
resnet18,20262020,source_model,14,skipped_optimizer_steps,0
resnet18,20262020,source_model,14,unique_training_images,16000
resnet18,20262020,source_model,14,image_condition_rows,16000
resnet18,20262020,source_model,15,loss,0.005570521672721952
resnet18,20262020,source_model,15,nmae,0.014576224913820624
resnet18,20262020,source_model,15,samples,16000.0
resnet18,20262020,source_model,15,optimizer_steps,250
resnet18,20262020,source_model,15,skipped_optimizer_steps,0
resnet18,20262020,source_model,15,unique_training_images,16000
resnet18,20262020,source_model,15,image_condition_rows,16000
resnet18,20262020,source_model,16,loss,0.004839670452289283
resnet18,20262020,source_model,16,nmae,0.01316284174285829
resnet18,20262020,source_model,16,samples,16000.0
resnet18,20262020,source_model,16,optimizer_steps,250
resnet18,20262020,source_model,16,skipped_optimizer_steps,0
resnet18,20262020,source_model,16,unique_training_images,16000
resnet18,20262020,source_model,16,image_condition_rows,16000
resnet18,20262020,source_model,17,loss,0.005516129750758409
resnet18,20262020,source_model,17,nmae,0.013917300837114453
resnet18,20262020,source_model,17,samples,16000.0
resnet18,20262020,source_model,17,optimizer_steps,250
resnet18,20262020,source_model,17,skipped_optimizer_steps,0
resnet18,20262020,source_model,17,unique_training_images,16000
resnet18,20262020,source_model,17,image_condition_rows,16000
resnet18,20262020,source_model,18,loss,0.004381167163141072
resnet18,20262020,source_model,18,nmae,0.012252756496891379
resnet18,20262020,source_model,18,samples,16000.0
resnet18,20262020,source_model,18,optimizer_steps,250
resnet18,20262020,source_model,18,skipped_optimizer_steps,0
resnet18,20262020,source_model,18,unique_training_images,16000
resnet18,20262020,source_model,18,image_condition_rows,16000
resnet18,20262020,source_model,19,loss,0.004297196294413879
resnet18,20262020,source_model,19,nmae,0.011896984305232764
resnet18,20262020,source_model,19,samples,16000.0
resnet18,20262020,source_model,19,optimizer_steps,250
resnet18,20262020,source_model,19,skipped_optimizer_steps,0
resnet18,20262020,source_model,19,unique_training_images,16000
resnet18,20262020,source_model,19,image_condition_rows,16000
resnet18,20262020,source_model,20,loss,0.0037794455320108683
resnet18,20262020,source_model,20,nmae,0.011057333901524543
resnet18,20262020,source_model,20,samples,16000.0
resnet18,20262020,source_model,20,optimizer_steps,250
resnet18,20262020,source_model,20,skipped_optimizer_steps,0
resnet18,20262020,source_model,20,unique_training_images,16000
resnet18,20262020,source_model,20,image_condition_rows,16000
resnet18,20262020,source_model,21,loss,0.00381044867541641
resnet18,20262020,source_model,21,nmae,0.010517020089551807
resnet18,20262020,source_model,21,samples,16000.0
resnet18,20262020,source_model,21,optimizer_steps,250
resnet18,20262020,source_model,21,skipped_optimizer_steps,0
resnet18,20262020,source_model,21,unique_training_images,16000
resnet18,20262020,source_model,21,image_condition_rows,16000
resnet18,20262020,source_model,22,loss,0.0036005802053259684
resnet18,20262020,source_model,22,nmae,0.010380289867520332
resnet18,20262020,source_model,22,samples,16000.0
resnet18,20262020,source_model,22,optimizer_steps,250
resnet18,20262020,source_model,22,skipped_optimizer_steps,0
resnet18,20262020,source_model,22,unique_training_images,16000
resnet18,20262020,source_model,22,image_condition_rows,16000
resnet18,20262020,source_model,23,loss,0.0032166953448904676
resnet18,20262020,source_model,23,nmae,0.009374123020097613
resnet18,20262020,source_model,23,samples,16000.0
resnet18,20262020,source_model,23,optimizer_steps,250
resnet18,20262020,source_model,23,skipped_optimizer_steps,0
resnet18,20262020,source_model,23,unique_training_images,16000
resnet18,20262020,source_model,23,image_condition_rows,16000
resnet18,20262020,source_model,24,loss,0.002843752832617611
resnet18,20262020,source_model,24,nmae,0.00878081901371479
resnet18,20262020,source_model,24,samples,16000.0
resnet18,20262020,source_model,24,optimizer_steps,250
resnet18,20262020,source_model,24,skipped_optimizer_steps,0
resnet18,20262020,source_model,24,unique_training_images,16000
resnet18,20262020,source_model,24,image_condition_rows,16000
resnet18,20262020,source_model,25,loss,0.0033361862760502843
resnet18,20262020,source_model,25,nmae,0.009032765926793218
resnet18,20262020,source_model,25,samples,16000.0
resnet18,20262020,source_model,25,optimizer_steps,250
resnet18,20262020,source_model,25,skipped_optimizer_steps,0
resnet18,20262020,source_model,25,unique_training_images,16000
resnet18,20262020,source_model,25,image_condition_rows,16000
resnet18,20262020,source_model,26,loss,0.002728962211520411
resnet18,20262020,source_model,26,nmae,0.008346752529963851
resnet18,20262020,source_model,26,samples,16000.0
resnet18,20262020,source_model,26,optimizer_steps,250
resnet18,20262020,source_model,26,skipped_optimizer_steps,0
resnet18,20262020,source_model,26,unique_training_images,16000
resnet18,20262020,source_model,26,image_condition_rows,16000
resnet18,20262020,source_model,27,loss,0.0024704966722638344
resnet18,20262020,source_model,27,nmae,0.00778528368100524
resnet18,20262020,source_model,27,samples,16000.0
resnet18,20262020,source_model,27,optimizer_steps,250
resnet18,20262020,source_model,27,skipped_optimizer_steps,0
resnet18,20262020,source_model,27,unique_training_images,16000
resnet18,20262020,source_model,27,image_condition_rows,16000
resnet18,20262020,source_model,28,loss,0.00281389454647433
resnet18,20262020,source_model,28,nmae,0.008142288320697844
resnet18,20262020,source_model,28,samples,16000.0
resnet18,20262020,source_model,28,optimizer_steps,250
resnet18,20262020,source_model,28,skipped_optimizer_steps,0
resnet18,20262020,source_model,28,unique_training_images,16000
resnet18,20262020,source_model,28,image_condition_rows,16000
resnet18,20262020,source_model,29,loss,0.002898131271416787
resnet18,20262020,source_model,29,nmae,0.008095140455290676
resnet18,20262020,source_model,29,samples,16000.0
resnet18,20262020,source_model,29,optimizer_steps,250
resnet18,20262020,source_model,29,skipped_optimizer_steps,0
resnet18,20262020,source_model,29,unique_training_images,16000
resnet18,20262020,source_model,29,image_condition_rows,16000
resnet18,20262020,source_model,30,loss,0.0024338749852613546
resnet18,20262020,source_model,30,nmae,0.007421491581946611
resnet18,20262020,source_model,30,samples,16000.0
resnet18,20262020,source_model,30,optimizer_steps,250
resnet18,20262020,source_model,30,skipped_optimizer_steps,0
resnet18,20262020,source_model,30,unique_training_images,16000
resnet18,20262020,source_model,30,image_condition_rows,16000
resnet18,20262020,source_model,31,loss,0.0026841792074264958
resnet18,20262020,source_model,31,nmae,0.008300391536206007
resnet18,20262020,source_model,31,samples,16000.0
resnet18,20262020,source_model,31,optimizer_steps,250
