method,seed,phase,accounting_scope,population,expected_unique_training_images,recorded_population_and_update_epochs,source_population_matches,expected_epochs,recorded_epochs,status,training_hours,validation_and_other_epoch_hours,recorded_epoch_hours,validation_epochs,learning_rate_epochs,optimizer_steps
resnet18,20262020,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9232468919171435,0.0,0.9232472009449784,0,60,14998
resnet18,20262021,source_model,final_recipe,full,16000,60,True,60,60,complete,0.921504785028131,0.0,0.9215050942217932,0,60,14996
resnet18,20262022,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9217016121944309,0.0,0.9217019274446647,0,60,14998
efficientnet_b0,20262020,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9731999026945172,0.0,0.973200226999664,0,60,14997
efficientnet_b0,20262021,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9503585358608203,0.0,0.950358848055152,0,60,14997
efficientnet_b0,20262022,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9338282727225062,0.0,0.9338285820283151,0,60,14997
mobilenet_v3_large,20262020,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9239874362500592,0.0,0.9239877460001864,0,60,14996
mobilenet_v3_large,20262021,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9284356831113756,0.0,0.9284359877776458,0,60,14996
mobilenet_v3_large,20262022,source_model,final_recipe,full,16000,60,True,60,60,complete,0.9539975574441875,0.0,0.9539978715827844,0,60,14995
yolo,20262020,source_model,final_recipe,full,16000,40,True,40,40,complete,0.9212413231385613,0.0,0.932654431131151,0,40,10699
yolo,20262021,source_model,final_recipe,full,16000,40,True,40,40,complete,0.8885768057778478,0.0,0.8987346186240515,0,40,10698
yolo,20262022,source_model,final_recipe,full,16000,40,True,40,40,complete,0.8856658495830683,0.0,0.8959047204256058,0,40,10697
deeplab,20262020,source_model,final_recipe,full,16000,20,True,20,20,complete,1.667831368916668,0.0,1.6678314712219353,0,20,39988
deeplab,20262021,source_model,final_recipe,full,16000,20,True,20,20,complete,1.669265888222338,0.0,1.6692659836112418,0,20,39987
deeplab,20262022,source_model,final_recipe,full,16000,20,True,20,20,complete,1.6769779550280266,0.0,1.6769780584166034,0,20,39986
vdn,20262020,source_model,final_recipe,full,16000,200,True,200,200,complete,4.798576683082308,0.0,4.7985774478609935,0,200,399861
vdn,20262021,source_model,final_recipe,full,16000,200,True,200,200,complete,4.942244417220742,0.0,4.942245210721158,0,200,399862
vdn,20262022,source_model,final_recipe,full,16000,200,True,200,200,complete,5.055547454944139,0.0,5.055548274473209,0,200,399865
