数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,GeoPRR完整模型,六条件总体,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04
SyncG,GeoPRR完整模型,无扰动,0.592 ± 0.025,1.166 ± 0.059,85.76 ± 0.93,96.36 ± 0.29,99.44 ± 0.04
SyncG,GeoPRR完整模型,中度模糊,0.592 ± 0.029,1.183 ± 0.066,85.98 ± 0.97,96.34 ± 0.36,99.38 ± 0.06
SyncG,GeoPRR完整模型,重度模糊,0.613 ± 0.028,1.308 ± 0.050,85.63 ± 0.99,96.07 ± 0.33,99.37 ± 0.12
SyncG,GeoPRR完整模型,中度透视,0.740 ± 0.015,1.963 ± 0.029,80.88 ± 0.50,94.15 ± 0.50,99.26 ± 0.09
SyncG,GeoPRR完整模型,重度透视,0.880 ± 0.017,2.038 ± 0.075,76.83 ± 0.68,91.38 ± 0.37,98.31 ± 0.13
SyncG,GeoPRR完整模型,重度复合扰动,1.025 ± 0.019,2.470 ± 0.082,73.23 ± 0.65,89.13 ± 0.33,97.63 ± 0.09
RF100-VL,GeoPRR完整模型,六条件总体,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23
RF100-VL,GeoPRR完整模型,无扰动,3.308 ± 0.524,6.337 ± 1.653,30.91 ± 2.99,57.84 ± 2.51,84.77 ± 2.89
RF100-VL,GeoPRR完整模型,中度模糊,3.171 ± 0.473,6.001 ± 1.574,31.13 ± 4.34,59.16 ± 2.33,86.09 ± 1.75
RF100-VL,GeoPRR完整模型,重度模糊,2.945 ± 0.437,5.767 ± 1.634,33.77 ± 3.03,61.15 ± 2.51,87.64 ± 1.91
RF100-VL,GeoPRR完整模型,中度透视,3.065 ± 0.263,5.425 ± 1.220,31.35 ± 2.68,54.75 ± 2.02,85.65 ± 1.67
RF100-VL,GeoPRR完整模型,重度透视,3.254 ± 0.327,5.493 ± 0.804,29.14 ± 2.65,52.76 ± 1.01,83.89 ± 2.02
RF100-VL,GeoPRR完整模型,重度复合扰动,3.401 ± 0.095,6.073 ± 0.918,25.61 ± 1.38,50.77 ± 2.13,83.66 ± 2.02
Industrial-1395,GeoPRR完整模型,六条件总体,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51
Industrial-1395,GeoPRR完整模型,无扰动,12.237 ± 2.078,20.236 ± 3.751,8.84 ± 0.92,23.37 ± 2.98,52.16 ± 2.23
Industrial-1395,GeoPRR完整模型,中度模糊,12.192 ± 2.088,20.246 ± 3.819,8.65 ± 0.92,24.21 ± 2.29,52.26 ± 2.01
Industrial-1395,GeoPRR完整模型,重度模糊,12.316 ± 2.337,20.504 ± 4.337,8.70 ± 0.57,23.56 ± 1.90,51.95 ± 2.04
Industrial-1395,GeoPRR完整模型,中度透视,10.496 ± 1.283,17.762 ± 2.314,10.44 ± 1.13,24.56 ± 2.42,53.60 ± 4.33
Industrial-1395,GeoPRR完整模型,重度透视,11.605 ± 1.239,19.169 ± 2.196,11.33 ± 2.67,24.21 ± 5.59,49.82 ± 6.18
Industrial-1395,GeoPRR完整模型,重度复合扰动,10.876 ± 1.372,18.129 ± 2.546,11.88 ± 1.89,24.64 ± 4.11,51.42 ± 5.84
