数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,GeoPRR完整模型,六条件总体,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04
SyncG,仅几何/基础专家,六条件总体,0.795 ± 0.022,1.791 ± 0.056,78.36 ± 0.79,93.34 ± 0.30,98.86 ± 0.06
SyncG,简单双视图回归,六条件总体,0.731 ± 0.021,1.705 ± 0.044,80.87 ± 0.57,93.92 ± 0.28,99.04 ± 0.06
SyncG,仅极坐标专家,六条件总体,1.636 ± 0.044,3.598 ± 0.117,59.12 ± 0.70,76.62 ± 0.89,93.92 ± 0.45
SyncG,仅关系专家,六条件总体,0.751 ± 0.023,1.765 ± 0.049,80.94 ± 0.93,93.81 ± 0.33,98.89 ± 0.03
SyncG,去几何融合,六条件总体,1.242 ± 0.042,2.496 ± 0.073,63.54 ± 1.33,82.49 ± 1.39,97.00 ± 0.25
SyncG,去几何融合+固定路由,六条件总体,1.369 ± 0.047,2.771 ± 0.089,60.85 ± 1.23,80.07 ± 1.50,96.23 ± 0.23
SyncG,去关系传输,六条件总体,0.791 ± 0.021,1.799 ± 0.053,78.48 ± 0.65,93.16 ± 0.27,98.84 ± 0.07
SyncG,去极坐标证据,六条件总体,0.752 ± 0.023,1.762 ± 0.049,80.84 ± 0.82,93.92 ± 0.25,98.89 ± 0.04
SyncG,固定先验混合,六条件总体,0.895 ± 0.021,1.968 ± 0.066,74.78 ± 0.35,91.59 ± 0.29,98.38 ± 0.14
SyncG,GeoPRR完整模型,无扰动,0.592 ± 0.025,1.166 ± 0.059,85.76 ± 0.93,96.36 ± 0.29,99.44 ± 0.04
SyncG,仅几何/基础专家,无扰动,0.618 ± 0.028,1.174 ± 0.060,84.85 ± 1.02,96.28 ± 0.44,99.48 ± 0.02
SyncG,简单双视图回归,无扰动,0.594 ± 0.019,1.152 ± 0.054,85.19 ± 0.78,96.03 ± 0.51,99.45 ± 0.04
SyncG,仅极坐标专家,无扰动,0.583 ± 0.025,1.168 ± 0.059,85.91 ± 0.94,96.42 ± 0.36,99.43 ± 0.04
SyncG,仅关系专家,无扰动,0.618 ± 0.028,1.174 ± 0.060,84.85 ± 1.02,96.28 ± 0.44,99.48 ± 0.02
SyncG,去几何融合,无扰动,0.591 ± 0.025,1.166 ± 0.060,85.83 ± 0.93,96.35 ± 0.38,99.44 ± 0.04
SyncG,去几何融合+固定路由,无扰动,0.601 ± 0.026,1.167 ± 0.059,85.37 ± 0.98,96.38 ± 0.44,99.46 ± 0.01
SyncG,去关系传输,无扰动,0.592 ± 0.025,1.165 ± 0.059,85.85 ± 0.79,96.35 ± 0.35,99.44 ± 0.04
SyncG,去极坐标证据,无扰动,0.618 ± 0.028,1.174 ± 0.060,84.85 ± 1.02,96.28 ± 0.44,99.48 ± 0.02
SyncG,固定先验混合,无扰动,0.601 ± 0.026,1.167 ± 0.059,85.37 ± 0.98,96.38 ± 0.44,99.46 ± 0.01
SyncG,GeoPRR完整模型,中度模糊,0.592 ± 0.029,1.183 ± 0.066,85.98 ± 0.97,96.34 ± 0.36,99.38 ± 0.06
