数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,GeoPRR完整模型,六条件总体,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04
SyncG,线性增益头,六条件总体,0.741 ± 0.022,1.761 ± 0.047,81.37 ± 0.83,93.96 ± 0.28,98.88 ± 0.03
SyncG,11标量MLP门控,六条件总体,0.739 ± 0.021,1.759 ± 0.049,81.44 ± 0.69,93.96 ± 0.27,98.90 ± 0.05
SyncG,三专家等权混合,六条件总体,0.957 ± 0.022,2.085 ± 0.070,72.47 ± 0.42,90.38 ± 0.26,98.12 ± 0.20
SyncG,固定先验混合,六条件总体,0.895 ± 0.021,1.968 ± 0.066,74.78 ± 0.35,91.59 ± 0.29,98.38 ± 0.14
SyncG,GeoPRR完整模型,无扰动,0.592 ± 0.025,1.166 ± 0.059,85.76 ± 0.93,96.36 ± 0.29,99.44 ± 0.04
SyncG,线性增益头,无扰动,0.593 ± 0.025,1.166 ± 0.059,85.71 ± 0.97,96.38 ± 0.34,99.44 ± 0.04
SyncG,11标量MLP门控,无扰动,0.595 ± 0.026,1.166 ± 0.058,85.68 ± 0.88,96.37 ± 0.39,99.45 ± 0.03
SyncG,三专家等权混合,无扰动,0.597 ± 0.026,1.166 ± 0.059,85.53 ± 0.95,96.39 ± 0.44,99.46 ± 0.01
SyncG,固定先验混合,无扰动,0.601 ± 0.026,1.167 ± 0.059,85.37 ± 0.98,96.38 ± 0.44,99.46 ± 0.01
SyncG,GeoPRR完整模型,中度模糊,0.592 ± 0.029,1.183 ± 0.066,85.98 ± 0.97,96.34 ± 0.36,99.38 ± 0.06
SyncG,线性增益头,中度模糊,0.593 ± 0.029,1.183 ± 0.065,86.01 ± 0.96,96.43 ± 0.29,99.38 ± 0.07
SyncG,11标量MLP门控,中度模糊,0.595 ± 0.030,1.183 ± 0.065,85.81 ± 0.94,96.39 ± 0.44,99.41 ± 0.08
SyncG,三专家等权混合,中度模糊,0.596 ± 0.030,1.183 ± 0.066,85.82 ± 0.97,96.37 ± 0.36,99.41 ± 0.08
SyncG,固定先验混合,中度模糊,0.601 ± 0.031,1.185 ± 0.066,85.64 ± 1.07,96.35 ± 0.43,99.40 ± 0.07
SyncG,GeoPRR完整模型,重度模糊,0.613 ± 0.028,1.308 ± 0.050,85.63 ± 0.99,96.07 ± 0.33,99.37 ± 0.12
SyncG,线性增益头,重度模糊,0.613 ± 0.028,1.309 ± 0.050,85.58 ± 0.93,96.08 ± 0.32,99.37 ± 0.12
SyncG,11标量MLP门控,重度模糊,0.615 ± 0.029,1.309 ± 0.052,85.48 ± 0.99,96.08 ± 0.40,99.38 ± 0.11
SyncG,三专家等权混合,重度模糊,0.617 ± 0.029,1.309 ± 0.053,85.33 ± 1.08,96.04 ± 0.39,99.38 ± 0.10
SyncG,固定先验混合,重度模糊,0.621 ± 0.030,1.310 ± 0.054,85.14 ± 1.02,96.01 ± 0.35,99.39 ± 0.09
SyncG,GeoPRR完整模型,中度透视,0.740 ± 0.015,1.963 ± 0.029,80.88 ± 0.50,94.15 ± 0.50,99.26 ± 0.09
SyncG,线性增益头,中度透视,0.740 ± 0.016,1.965 ± 0.031,80.92 ± 0.71,94.13 ± 0.51,99.24 ± 0.08
SyncG,11标量MLP门控,中度透视,0.731 ± 0.015,1.958 ± 0.029,81.18 ± 0.54,94.18 ± 0.38,99.24 ± 0.10
SyncG,三专家等权混合,中度透视,0.856 ± 0.018,2.047 ± 0.044,74.95 ± 0.13,92.97 ± 0.90,99.05 ± 0.09
SyncG,固定先验混合,中度透视,0.818 ± 0.021,2.013 ± 0.044,77.02 ± 0.63,93.36 ± 0.87,99.13 ± 0.13
SyncG,GeoPRR完整模型,重度透视,0.880 ± 0.017,2.038 ± 0.075,76.83 ± 0.68,91.38 ± 0.37,98.31 ± 0.13
SyncG,线性增益头,重度透视,0.880 ± 0.017,2.036 ± 0.073,76.70 ± 0.82,91.45 ± 0.37,98.26 ± 0.14
SyncG,11标量MLP门控,重度透视,0.875 ± 0.014,2.036 ± 0.074,77.04 ± 0.36,91.54 ± 0.32,98.28 ± 0.14
SyncG,三专家等权混合,重度透视,1.439 ± 0.047,2.740 ± 0.110,53.57 ± 2.88,82.10 ± 1.33,96.28 ± 0.55
SyncG,固定先验混合,重度透视,1.268 ± 0.036,2.494 ± 0.103,60.23 ± 2.53,85.42 ± 0.83,96.95 ± 0.25
SyncG,GeoPRR完整模型,重度复合扰动,1.025 ± 0.019,2.470 ± 0.082,73.23 ± 0.65,89.13 ± 0.33,97.63 ± 0.09
