数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,GeoPRR完整模型,六条件总体,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04
SyncG,Raw B0（六条件增强）,六条件总体,0.726 ± 0.007,1.953 ± 0.063,81.81 ± 0.24,95.14 ± 0.13,99.21 ± 0.08
SyncG,GeoPRR完整模型,无扰动,0.592 ± 0.025,1.166 ± 0.059,85.76 ± 0.93,96.36 ± 0.29,99.44 ± 0.04
SyncG,Raw B0（六条件增强）,无扰动,0.579 ± 0.012,1.280 ± 0.103,86.62 ± 0.26,97.33 ± 0.34,99.52 ± 0.05
SyncG,GeoPRR完整模型,中度模糊,0.592 ± 0.029,1.183 ± 0.066,85.98 ± 0.97,96.34 ± 0.36,99.38 ± 0.06
SyncG,Raw B0（六条件增强）,中度模糊,0.578 ± 0.012,1.271 ± 0.082,87.16 ± 0.36,97.38 ± 0.34,99.50 ± 0.04
SyncG,GeoPRR完整模型,重度模糊,0.613 ± 0.028,1.308 ± 0.050,85.63 ± 0.99,96.07 ± 0.33,99.37 ± 0.12
SyncG,Raw B0（六条件增强）,重度模糊,0.603 ± 0.009,1.440 ± 0.078,86.31 ± 0.21,96.98 ± 0.36,99.43 ± 0.05
SyncG,GeoPRR完整模型,中度透视,0.740 ± 0.015,1.963 ± 0.029,80.88 ± 0.50,94.15 ± 0.50,99.26 ± 0.09
SyncG,Raw B0（六条件增强）,中度透视,0.688 ± 0.004,1.770 ± 0.043,82.71 ± 0.80,95.64 ± 0.06,99.38 ± 0.09
SyncG,GeoPRR完整模型,重度透视,0.880 ± 0.017,2.038 ± 0.075,76.83 ± 0.68,91.38 ± 0.37,98.31 ± 0.13
SyncG,Raw B0（六条件增强）,重度透视,0.920 ± 0.002,2.496 ± 0.065,74.48 ± 0.19,92.17 ± 0.13,98.92 ± 0.20
SyncG,GeoPRR完整模型,重度复合扰动,1.025 ± 0.019,2.470 ± 0.082,73.23 ± 0.65,89.13 ± 0.33,97.63 ± 0.09
SyncG,Raw B0（六条件增强）,重度复合扰动,0.992 ± 0.008,2.861 ± 0.119,73.59 ± 0.34,91.31 ± 0.35,98.50 ± 0.30
RF100-VL,GeoPRR完整模型,六条件总体,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23
RF100-VL,Raw B0（六条件增强）,六条件总体,4.161 ± 0.611,7.592 ± 1.189,27.63 ± 1.75,50.33 ± 2.84,76.56 ± 3.81
RF100-VL,GeoPRR完整模型,无扰动,3.308 ± 0.524,6.337 ± 1.653,30.91 ± 2.99,57.84 ± 2.51,84.77 ± 2.89
RF100-VL,Raw B0（六条件增强）,无扰动,4.554 ± 1.115,8.297 ± 1.815,29.58 ± 3.40,49.89 ± 5.39,76.38 ± 7.08
RF100-VL,GeoPRR完整模型,中度模糊,3.171 ± 0.473,6.001 ± 1.574,31.13 ± 4.34,59.16 ± 2.33,86.09 ± 1.75
RF100-VL,Raw B0（六条件增强）,中度模糊,4.363 ± 0.989,8.080 ± 1.718,29.80 ± 3.03,51.43 ± 4.65,76.38 ± 6.67
RF100-VL,GeoPRR完整模型,重度模糊,2.945 ± 0.437,5.767 ± 1.634,33.77 ± 3.03,61.15 ± 2.51,87.64 ± 1.91
RF100-VL,Raw B0（六条件增强）,重度模糊,3.902 ± 0.911,7.529 ± 2.206,30.24 ± 4.31,54.08 ± 6.96,80.79 ± 4.03
