数据集,方法,评测条件,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）
SyncG,GeoPRR完整模型,六条件总体,0.638,1.61,85.37,95.44,99.02
SyncG,仅几何/基础专家,六条件总体,0.694,1.638,82.89,94.85,99.02
SyncG,简单双视图回归,六条件总体,0.614,1.512,85.6,95.52,99.2
SyncG,仅极坐标专家,六条件总体,1.503,3.283,61.42,78.29,94.72
SyncG,仅关系专家,六条件总体,0.642,1.608,85.4,95.44,99.05
SyncG,去几何融合,六条件总体,1.148,2.307,65.64,84.1,97.38
SyncG,去几何融合+固定路由,六条件总体,1.273,2.56,62.63,81.61,96.72
SyncG,去关系传输,六条件总体,0.691,1.646,82.86,94.66,98.98
SyncG,去极坐标证据,六条件总体,0.648,1.609,85.16,95.43,99.04
SyncG,线性增益头,六条件总体,0.639,1.61,85.44,95.41,99.02
SyncG,11标量MLP门控,六条件总体,0.636,1.609,85.55,95.42,99.03
SyncG,三专家等权混合,六条件总体,0.863,1.923,76.24,92.04,98.3
SyncG,固定先验混合,六条件总体,0.803,1.816,78.53,93.07,98.58
SyncG,Raw B0（六条件增强）,六条件总体,0.65,1.81,85.69,96.03,99.28
SyncG,GeoPRR完整模型,无扰动,0.502,1.025,89.28,97.45,99.45
SyncG,仅几何/基础专家,无扰动,0.525,1.029,88.72,97.47,99.5
SyncG,简单双视图回归,无扰动,0.49,0.996,89.22,97.13,99.55
SyncG,仅极坐标专家,无扰动,0.495,1.031,89.13,97.6,99.45
SyncG,仅关系专家,无扰动,0.525,1.029,88.72,97.47,99.5
SyncG,去几何融合,无扰动,0.501,1.026,89.33,97.4,99.45
SyncG,去几何融合+固定路由,无扰动,0.51,1.024,89.1,97.47,99.5
SyncG,去关系传输,无扰动,0.502,1.025,89.25,97.4,99.45
SyncG,去极坐标证据,无扰动,0.525,1.029,88.72,97.47,99.5
SyncG,线性增益头,无扰动,0.503,1.025,89.42,97.47,99.45
SyncG,11标量MLP门控,无扰动,0.504,1.025,89.3,97.45,99.45
SyncG,三专家等权混合,无扰动,0.505,1.024,89.25,97.45,99.5
SyncG,固定先验混合,无扰动,0.51,1.024,89.1,97.47,99.5
SyncG,Raw B0（六条件增强）,无扰动,0.51,1.192,90.1,97.82,99.6
SyncG,GeoPRR完整模型,中度模糊,0.502,1.041,89.5,97.52,99.45
SyncG,仅几何/基础专家,中度模糊,0.525,1.043,88.75,97.4,99.5
SyncG,简单双视图回归,中度模糊,0.491,1.005,89.18,97.2,99.5
SyncG,仅极坐标专家,中度模糊,0.495,1.047,89.75,97.4,99.42
SyncG,仅关系专家,中度模糊,0.525,1.043,88.75,97.4,99.5
SyncG,去几何融合,中度模糊,0.501,1.041,89.6,97.55,99.42
SyncG,去几何融合+固定路由,中度模糊,0.51,1.039,89.48,97.5,99.48
SyncG,去关系传输,中度模糊,0.502,1.04,89.55,97.47,99.45
SyncG,去极坐标证据,中度模糊,0.525,1.043,88.75,97.4,99.5
SyncG,线性增益头,中度模糊,0.503,1.04,89.6,97.52,99.42
SyncG,11标量MLP门控,中度模糊,0.504,1.04,89.55,97.45,99.48
SyncG,三专家等权混合,中度模糊,0.505,1.039,89.58,97.47,99.48
SyncG,固定先验混合,中度模糊,0.51,1.039,89.48,97.5,99.48
SyncG,Raw B0（六条件增强）,中度模糊,0.51,1.182,90.77,97.95,99.58
SyncG,GeoPRR完整模型,重度模糊,0.523,1.149,89.15,97.1,99.4
SyncG,仅几何/基础专家,重度模糊,0.545,1.151,88.58,97.13,99.45
SyncG,简单双视图回归,重度模糊,0.509,1.101,89.03,96.9,99.35
SyncG,仅极坐标专家,重度模糊,0.516,1.155,89.28,97.17,99.4
SyncG,仅关系专家,重度模糊,0.545,1.151,88.58,97.13,99.45
SyncG,去几何融合,重度模糊,0.523,1.151,89.15,97.05,99.4
SyncG,去几何融合+固定路由,重度模糊,0.53,1.148,89.08,97.1,99.42
SyncG,去关系传输,重度模糊,0.523,1.15,89.2,97.08,99.4
SyncG,去极坐标证据,重度模糊,0.545,1.151,88.58,97.13,99.45
SyncG,线性增益头,重度模糊,0.524,1.149,89.18,97.05,99.4
SyncG,11标量MLP门控,重度模糊,0.525,1.148,89.2,97.08,99.42
SyncG,三专家等权混合,重度模糊,0.526,1.147,89.13,97.08,99.42
SyncG,固定先验混合,重度模糊,0.53,1.148,89.08,97.1,99.42
SyncG,Raw B0（六条件增强）,重度模糊,0.533,1.343,90.1,97.65,99.45
SyncG,GeoPRR完整模型,中度透视,0.65,1.879,84.23,95.67,99.35
SyncG,仅几何/基础专家,中度透视,0.678,1.878,83.17,95.4,99.4
SyncG,简单双视图回归,中度透视,0.633,1.834,85.2,95.67,99.42
SyncG,仅极坐标专家,中度透视,1.309,2.438,51.68,83.2,98.35
SyncG,仅关系专家,中度透视,0.63,1.876,85.05,95.7,99.38
SyncG,去几何融合,中度透视,1.107,2.159,58.5,88.83,98.95
SyncG,去几何融合+固定路由,中度透视,1.196,2.241,52.83,87.1,98.78
SyncG,去关系传输,中度透视,0.709,1.888,81.95,95.15,99.33
SyncG,去极坐标证据,中度透视,0.641,1.875,84.7,95.65,99.38
SyncG,线性增益头,中度透视,0.65,1.882,84.55,95.67,99.35
SyncG,11标量MLP门控,中度透视,0.639,1.874,84.88,95.8,99.38
SyncG,三专家等权混合,中度透视,0.781,1.959,79.22,94.47,99.1
SyncG,固定先验混合,中度透视,0.741,1.928,80.97,94.9,99.22
SyncG,Raw B0（六条件增强）,中度透视,0.616,1.677,86.1,96.9,99.33
SyncG,GeoPRR完整模型,重度透视,0.755,1.838,81.73,93.23,98.65
SyncG,仅几何/基础专家,重度透视,0.869,1.893,75.78,91.92,98.52
SyncG,简单双视图回归,重度透视,0.724,1.702,81.75,94,98.92
SyncG,仅极坐标专家,重度透视,2.99,5.05,24.85,48.35,86.65
SyncG,仅关系专家,重度透视,0.743,1.835,82.35,93.17,98.67
SyncG,去几何融合,重度透视,2.047,3.272,34.13,63.1,94.27
SyncG,去几何融合+固定路由,重度透视,2.353,3.742,28.25,56.2,92.5
SyncG,去关系传输,重度透视,0.872,1.903,75.78,91.47,98.52
SyncG,去极坐标证据,重度透视,0.756,1.835,81.8,93.23,98.6
SyncG,线性增益头,重度透视,0.755,1.837,81.53,93.23,98.63
SyncG,11标量MLP门控,重度透视,0.75,1.837,81.85,93.17,98.63
SyncG,三专家等权混合,重度透视,1.333,2.516,57.3,84.9,96.75
SyncG,固定先验混合,重度透视,1.167,2.289,63.92,87.2,97.38
SyncG,Raw B0（六条件增强）,重度透视,0.833,2.292,79.3,93.23,99.05
SyncG,GeoPRR完整模型,重度复合扰动,0.896,2.277,78.33,91.67,97.82
SyncG,仅几何/基础专家,重度复合扰动,1.019,2.348,72.35,89.78,97.75
SyncG,简单双视图回归,重度复合扰动,0.838,2.061,79.2,92.2,98.42
SyncG,仅极坐标专家,重度复合扰动,3.212,5.455,23.82,46.02,85.02
SyncG,仅关系专家,重度复合扰动,0.882,2.271,78.92,91.75,97.82
