数据集,方法,评测条件,基础专家权重,极坐标专家权重,关系专家权重,归一化路由熵,最大权重>0.95占比（%）
SyncG,GeoPRR完整模型,六条件总体,0.391 ± 0.008,0.231 ± 0.005,0.378 ± 0.009,0.827 ± 0.005,0.79 ± 0.15
SyncG,线性增益头,六条件总体,0.394 ± 0.008,0.230 ± 0.004,0.375 ± 0.009,0.831 ± 0.003,0.99 ± 0.13
SyncG,11标量MLP门控,六条件总体,0.358 ± 0.006,0.217 ± 0.005,0.425 ± 0.006,0.819 ± 0.004,0.38 ± 0.14
SyncG,三专家等权混合,六条件总体,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,六条件总体,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,无扰动,0.444 ± 0.008,0.372 ± 0.012,0.185 ± 0.004,0.930 ± 0.005,0.00 ± 0.00
SyncG,线性增益头,无扰动,0.444 ± 0.007,0.369 ± 0.010,0.187 ± 0.003,0.936 ± 0.003,0.01 ± 0.01
SyncG,11标量MLP门控,无扰动,0.441 ± 0.004,0.368 ± 0.009,0.191 ± 0.006,0.950 ± 0.003,0.00 ± 0.00
SyncG,三专家等权混合,无扰动,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,无扰动,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,中度模糊,0.444 ± 0.008,0.371 ± 0.011,0.185 ± 0.003,0.931 ± 0.004,0.00 ± 0.00
SyncG,线性增益头,中度模糊,0.444 ± 0.007,0.369 ± 0.010,0.187 ± 0.003,0.935 ± 0.003,0.01 ± 0.01
SyncG,11标量MLP门控,中度模糊,0.441 ± 0.003,0.368 ± 0.009,0.191 ± 0.006,0.950 ± 0.003,0.00 ± 0.00
SyncG,三专家等权混合,中度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,中度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,重度模糊,0.445 ± 0.007,0.370 ± 0.011,0.185 ± 0.003,0.930 ± 0.003,0.00 ± 0.00
SyncG,线性增益头,重度模糊,0.444 ± 0.006,0.370 ± 0.009,0.187 ± 0.003,0.935 ± 0.002,0.01 ± 0.01
SyncG,11标量MLP门控,重度模糊,0.441 ± 0.003,0.368 ± 0.009,0.191 ± 0.006,0.950 ± 0.003,0.00 ± 0.00
SyncG,三专家等权混合,重度模糊,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,重度模糊,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,中度透视,0.380 ± 0.024,0.128 ± 0.005,0.492 ± 0.028,0.824 ± 0.014,0.38 ± 0.18
SyncG,线性增益头,中度透视,0.387 ± 0.024,0.130 ± 0.004,0.483 ± 0.027,0.830 ± 0.012,0.41 ± 0.16
SyncG,11标量MLP门控,中度透视,0.292 ± 0.012,0.084 ± 0.001,0.625 ± 0.013,0.758 ± 0.011,0.04 ± 0.05
SyncG,三专家等权混合,中度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,中度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,重度透视,0.332 ± 0.010,0.075 ± 0.002,0.593 ± 0.008,0.690 ± 0.001,1.63 ± 0.35
SyncG,线性增益头,重度透视,0.338 ± 0.011,0.074 ± 0.001,0.588 ± 0.009,0.689 ± 0.004,2.09 ± 0.35
SyncG,11标量MLP门控,重度透视,0.266 ± 0.012,0.056 ± 0.002,0.678 ± 0.010,0.654 ± 0.006,1.04 ± 0.35
SyncG,三专家等权混合,重度透视,0.333 ± 0.000,0.333 ± 0.000,0.333 ± 0.000,1.000 ± 0.000,0.00 ± 0.00
SyncG,固定先验混合,重度透视,0.500 ± 0.000,0.250 ± 0.000,0.250 ± 0.000,0.946 ± 0.000,0.00 ± 0.00
SyncG,GeoPRR完整模型,重度复合扰动,0.302 ± 0.012,0.072 ± 0.001,0.626 ± 0.011,0.658 ± 0.004,2.72 ± 0.42
SyncG,线性增益头,重度复合扰动,0.309 ± 0.011,0.071 ± 0.002,0.620 ± 0.011,0.659 ± 0.004,3.43 ± 0.43
SyncG,11标量MLP门控,重度复合扰动,0.266 ± 0.011,0.059 ± 0.001,0.676 ± 0.010,0.652 ± 0.007,1.23 ± 0.42
