数据集,方法,评测条件,有符号残差均值,绝对残差均值,绝对残差最大值
SyncG,GeoPRR完整模型,六条件总体,-2.557e-10 ± 1.599e-10,1.208e-8 ± 2.622e-10,2.384e-7 ± 0.000e+0
SyncG,GeoPRR完整模型,无扰动,1.364e-10 ± 1.519e-11,1.122e-8 ± 3.497e-10,1.987e-7 ± 3.441e-8
SyncG,GeoPRR完整模型,中度模糊,-4.777e-10 ± 3.449e-10,1.121e-8 ± 5.902e-10,2.384e-7 ± 0.000e+0
SyncG,GeoPRR完整模型,重度模糊,-1.104e-10 ± 1.844e-10,1.121e-8 ± 3.066e-11,1.987e-7 ± 3.441e-8
SyncG,GeoPRR完整模型,中度透视,-5.039e-10 ± 3.933e-10,1.230e-8 ± 2.766e-10,1.788e-7 ± 0.000e+0
SyncG,GeoPRR完整模型,重度透视,-3.041e-10 ± 5.620e-10,1.348e-8 ± 1.388e-10,1.987e-7 ± 3.441e-8
SyncG,GeoPRR完整模型,重度复合扰动,-2.745e-10 ± 2.760e-10,1.308e-8 ± 6.977e-10,1.788e-7 ± 0.000e+0
RF100-VL,GeoPRR完整模型,六条件总体,-2.540e-10 ± 4.508e-11,7.650e-9 ± 1.018e-9,1.192e-7 ± 0.000e+0
RF100-VL,GeoPRR完整模型,无扰动,2.817e-10 ± 1.284e-9,6.388e-9 ± 1.043e-9,9.934e-8 ± 3.441e-8
RF100-VL,GeoPRR完整模型,中度模糊,-4.687e-10 ± 9.397e-10,6.636e-9 ± 2.419e-9,5.960e-8 ± 0.000e+0
RF100-VL,GeoPRR完整模型,重度模糊,-3.495e-11 ± 1.241e-9,6.754e-9 ± 1.347e-9,7.947e-8 ± 3.441e-8
RF100-VL,GeoPRR完整模型,中度透视,-6.517e-10 ± 1.605e-9,9.023e-9 ± 5.831e-10,5.960e-8 ± 0.000e+0
RF100-VL,GeoPRR完整模型,重度透视,5.006e-10 ± 5.536e-10,8.449e-9 ± 6.787e-10,5.960e-8 ± 0.000e+0
RF100-VL,GeoPRR完整模型,重度复合扰动,-1.151e-9 ± 1.382e-9,8.651e-9 ± 1.216e-9,6.954e-8 ± 1.721e-8
Industrial-1395,GeoPRR完整模型,六条件总体,-1.597e-10 ± 8.916e-11,6.150e-9 ± 3.167e-10,1.391e-7 ± 3.441e-8
Industrial-1395,GeoPRR完整模型,无扰动,3.186e-10 ± 2.545e-10,5.972e-9 ± 6.619e-10,1.391e-7 ± 3.441e-8
Industrial-1395,GeoPRR完整模型,中度模糊,-5.107e-10 ± 4.240e-10,5.981e-9 ± 7.666e-10,1.192e-7 ± 0.000e+0
Industrial-1395,GeoPRR完整模型,重度模糊,1.068e-11 ± 2.728e-10,6.113e-9 ± 6.727e-10,1.192e-7 ± 0.000e+0
Industrial-1395,GeoPRR完整模型,中度透视,-1.886e-10 ± 4.272e-10,5.949e-9 ± 2.638e-10,1.192e-7 ± 0.000e+0
Industrial-1395,GeoPRR完整模型,重度透视,-2.845e-10 ± 2.935e-10,6.654e-9 ± 5.771e-10,1.192e-7 ± 0.000e+0
Industrial-1395,GeoPRR完整模型,重度复合扰动,-3.036e-10 ± 3.397e-10,6.232e-9 ± 5.943e-10,1.192e-7 ± 0.000e+0
