方法,透视角度（°）,NMAE（%FS）,95%CI_NMAE（%FS）,Acc@2%（%）,95%CI_Acc@2%（%）,Acc@5%（%）,95%CI_Acc@5%（%）
GeoPRR完整模型,0,0.592 ± 0.025,"[0.563, 0.624]",96.35 ± 0.30,"[95.81, 96.86]",99.44 ± 0.04,"[99.23, 99.64]"
去几何融合,0,0.591 ± 0.025,"[0.562, 0.623]",96.34 ± 0.38,"[95.81, 96.85]",99.44 ± 0.04,"[99.23, 99.64]"
Raw B0（原检查点）,0,0.618 ± 0.028,"[0.589, 0.648]",96.28 ± 0.44,"[95.78, 96.77]",99.48 ± 0.02,"[99.27, 99.67]"
GeoPRR完整模型,15,0.735 ± 0.034,"[0.689, 0.788]",94.61 ± 0.69,"[94.00, 95.21]",99.36 ± 0.10,"[99.12, 99.57]"
去几何融合,15,0.906 ± 0.014,"[0.857, 0.962]",92.85 ± 0.39,"[92.09, 93.61]",99.17 ± 0.09,"[98.88, 99.44]"
Raw B0（原检查点）,15,1.062 ± 0.006,"[1.008, 1.124]",89.89 ± 0.08,"[89.05, 90.73]",98.96 ± 0.17,"[98.66, 99.24]"
GeoPRR完整模型,25,0.740 ± 0.015,"[0.689, 0.798]",94.15 ± 0.50,"[93.53, 94.75]",99.26 ± 0.09,"[99.01, 99.49]"
去几何融合,25,1.173 ± 0.041,"[1.121, 1.232]",86.72 ± 0.94,"[85.87, 87.57]",98.73 ± 0.07,"[98.39, 99.04]"
Raw B0（原检查点）,25,1.445 ± 0.028,"[1.386, 1.511]",78.89 ± 1.73,"[77.91, 79.87]",98.03 ± 0.30,"[97.64, 98.41]"
GeoPRR完整模型,35,0.786 ± 0.014,"[0.738, 0.842]",93.22 ± 0.28,"[92.54, 93.90]",98.98 ± 0.11,"[98.69, 99.24]"
去几何融合,35,1.558 ± 0.081,"[1.498, 1.622]",74.75 ± 4.14,"[73.70, 75.81]",97.48 ± 0.35,"[97.01, 97.94]"
Raw B0（原检查点）,35,2.088 ± 0.066,"[2.002, 2.181]",62.05 ± 4.39,"[60.94, 63.18]",94.59 ± 0.63,"[93.95, 95.21]"
GeoPRR完整模型,45,0.880 ± 0.017,"[0.828, 0.938]",91.41 ± 0.38,"[90.49, 92.27]",98.31 ± 0.13,"[97.94, 98.65]"
去几何融合,45,2.159 ± 0.131,"[2.082, 2.240]",60.82 ± 4.59,"[59.71, 61.95]",93.15 ± 0.76,"[92.49, 93.80]"
Raw B0（原检查点）,45,3.212 ± 0.180,"[3.082, 3.347]",45.32 ± 4.74,"[44.15, 46.52]",84.62 ± 1.93,"[83.73, 85.50]"
GeoPRR完整模型,60,11.416 ± 1.599,"[10.987, 11.858]",16.10 ± 2.93,"[15.28, 16.92]",38.16 ± 5.61,"[36.91, 39.43]"
去几何融合,60,11.406 ± 1.581,"[10.978, 11.848]",16.04 ± 2.91,"[15.23, 16.86]",38.36 ± 5.48,"[37.09, 39.64]"
Raw B0（原检查点）,60,11.440 ± 1.652,"[11.012, 11.881]",15.95 ± 3.07,"[15.13, 16.77]",38.23 ± 5.98,"[36.95, 39.53]"
