数据集,对照方法,参考方法,评测条件,统计方式,NMAE差值（%FS）,NMAE差值95%CI,Acc@5%差值（百分点）,Acc@5%差值95%CI
SyncG,仅几何/基础专家,GeoPRR完整模型,六条件总体,三seed平均,0.054855,"[0.050453, 0.059252]",-0.041667,"[-0.081577, 0.000000]"
SyncG,简单双视图回归,GeoPRR完整模型,六条件总体,三seed平均,-0.008968,"[-0.018938, 0.000575]",0.145833,"[0.058480, 0.235784]"
SyncG,固定先验混合,GeoPRR完整模型,六条件总体,三seed平均,0.154998,"[0.145192, 0.165226]",-0.515278,"[-0.621136, -0.415006]"
SyncG,线性增益头,GeoPRR完整模型,六条件总体,三seed平均,0.000626,"[-0.000219, 0.001463]",-0.013889,"[-0.027626, 0.000000]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,六条件总体,三seed平均,0.628884,"[0.603150, 0.655492]",-2.665278,"[-2.910251, -2.426578]"
SyncG,去几何融合,GeoPRR完整模型,六条件总体,三seed平均,0.501468,"[0.480538, 0.523130]",-1.894444,"[-2.097636, -1.696855]"
SyncG,去极坐标证据,GeoPRR完整模型,六条件总体,三seed平均,0.012073,"[0.010430, 0.013705]",-0.004167,"[-0.025044, 0.017961]"
SyncG,去关系传输,GeoPRR完整模型,六条件总体,三seed平均,0.051165,"[0.046971, 0.055359]",-0.054167,"[-0.095688, -0.013951]"
SyncG,仅极坐标专家,GeoPRR完整模型,六条件总体,三seed平均,0.895208,"[0.853687, 0.938337]",-4.977778,"[-5.276220, -4.677756]"
SyncG,Raw B0（六条件增强）,GeoPRR完整模型,六条件总体,三seed平均,-0.013884,"[-0.038878, 0.012044]",0.309722,"[0.161999, 0.457002]"
SyncG,仅关系专家,GeoPRR完整模型,六条件总体,三seed平均,0.011123,"[0.009045, 0.013199]",-0.011111,"[-0.032113, 0.009964]"
SyncG,11标量MLP门控,GeoPRR完整模型,六条件总体,三seed平均,-0.00137,"[-0.002253, -0.000518]",0,"[-0.015225, 0.015213]"
SyncG,三专家等权混合,GeoPRR完整模型,六条件总体,三seed平均,0.216322,"[0.203209, 0.230048]",-0.775,"[-0.905785, -0.649093]"
SyncG,仅几何/基础专家,GeoPRR完整模型,六条件总体,三模型等权集成,0.055239,"[0.050475, 0.060000]",0,"[-0.058494, 0.057870]"
SyncG,简单双视图回归,GeoPRR完整模型,六条件总体,三模型等权集成,-0.023939,"[-0.034106, -0.014260]",0.175,"[0.081520, 0.269370]"
SyncG,固定先验混合,GeoPRR完整模型,六条件总体,三模型等权集成,0.164761,"[0.154147, 0.175918]",-0.4375,"[-0.560399, -0.322710]"
SyncG,线性增益头,GeoPRR完整模型,六条件总体,三模型等权集成,0.000891,"[0.000085, 0.001692]",-0.004167,"[-0.020311, 0.008432]"
SyncG,去几何融合+固定路由,GeoPRR完整模型,六条件总体,三模型等权集成,0.634253,"[0.607882, 0.661778]",-2.3,"[-2.561859, -2.045222]"
SyncG,去几何融合,GeoPRR完整模型,六条件总体,三模型等权集成,0.509964,"[0.488294, 0.532494]",-1.645833,"[-1.868291, -1.431744]"
SyncG,去极坐标证据,GeoPRR完整模型,六条件总体,三模型等权集成,0.010002,"[0.008168, 0.011805]",0.016667,"[-0.016563, 0.054072]"
