对照方法,参考方法,透视角度（°）,NMAE（%FS）差值,95%CI_NMAE（%FS）,Acc@2%（%）差值,95%CI_Acc@2%（%）,Acc@5%（%）差值,95%CI_Acc@5%（%）
去几何融合,GeoPRR完整模型,0,-0.001125 ± 0.000813,"[-0.001692, -0.000546]",-0.008333 ± 0.080364,"[-0.059969, 0.048733]",0.000000 ± 0.000000,"[0.000000, 0.000000]"
Raw B0（原检查点）,GeoPRR完整模型,0,0.025205 ± 0.006008,"[0.022709, 0.027678]",-0.066667 ± 0.158771,"[-0.187268, 0.056858]",0.033333 ± 0.057735,"[0.008194, 0.067579]"
去几何融合,GeoPRR完整模型,15,0.171318 ± 0.040937,"[0.158828, 0.184557]",-1.758333 ± 0.368556,"[-2.165357, -1.359136]",-0.183333 ± 0.076376,"[-0.314319, -0.059132]"
Raw B0（原检查点）,GeoPRR完整模型,15,0.327418 ± 0.036472,"[0.304907, 0.352448]",-4.716667 ± 0.755949,"[-5.281196, -4.166667]",-0.400000 ± 0.066144,"[-0.568605, -0.246245]"
去几何融合,GeoPRR完整模型,25,0.433668 ± 0.054875,"[0.414306, 0.453653]",-7.433333 ± 1.389769,"[-8.047725, -6.837809]",-0.533333 ± 0.094648,"[-0.729685, -0.347485]"
Raw B0（原检查点）,GeoPRR完整模型,25,0.705019 ± 0.041712,"[0.674081, 0.738449]",-15.258333 ± 2.223361,"[-16.072627, -14.460155]",-1.225000 ± 0.217945,"[-1.507008, -0.949174]"
去几何融合,GeoPRR完整模型,35,0.771435 ± 0.092415,"[0.736134, 0.808527]",-18.466667 ± 4.315476,"[-19.493440, -17.471757]",-1.491667 ± 0.242813,"[-1.838733, -1.169733]"
Raw B0（原检查点）,GeoPRR完整模型,35,1.301561 ± 0.076424,"[1.237491, 1.371074]",-31.166667 ± 4.544869,"[-32.304579, -30.024669]",-4.383333 ± 0.518612,"[-4.940467, -3.849740]"
去几何融合,GeoPRR完整模型,45,1.279343 ± 0.140710,"[1.220345, 1.340883]",-30.591667 ± 4.703478,"[-31.835678, -29.365649]",-5.158333 ± 0.652080,"[-5.730197, -4.599945]"
Raw B0（原检查点）,GeoPRR完整模型,45,2.332516 ± 0.183523,"[2.217653, 2.453456]",-46.083333 ± 4.819902,"[-47.445833, -44.701538]",-13.691667 ± 1.845490,"[-14.519394, -12.869198]"
去几何融合,GeoPRR完整模型,60,-0.009878 ± 0.017685,"[-0.014450, -0.005380]",-0.058333 ± 0.125831,"[-0.211884, 0.098645]",0.200000 ± 0.288314,"[0.049988, 0.354873]"
Raw B0（原检查点）,GeoPRR完整模型,60,0.023975 ± 0.065725,"[0.017548, 0.030411]",-0.150000 ± 0.152069,"[-0.341794, 0.042024]",0.075000 ± 0.712829,"[-0.122730, 0.270664]"
