figure_id,panel,source_table,cohort,method,reference,aggregation,scope,condition,angle_degrees,metric,value,sample_sd,ci95_low,ci95_high,images,groups,unit
table_main,frozen_transfer,syncg/summary.csv,syncg,base_only,,seed_mean,all_conditions,,,nmae_pct_fs,0.7951795721640035,0.022404992227516643,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,base_only,,seed_mean,all_conditions,,,acc_at_2_pct,93.33888888888889,0.30237294546329496,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,base_only,,seed_mean,all_conditions,,,acc_at_5_pct,98.85555555555557,0.057785122396428454,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,base_only,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,dual_view,,seed_mean,all_conditions,,,nmae_pct_fs,0.7313561542797187,0.020678724958452754,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,dual_view,,seed_mean,all_conditions,,,acc_at_2_pct,93.925,0.2787932826386613,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,dual_view,,seed_mean,all_conditions,,,acc_at_5_pct,99.04305555555555,0.057785122396436316,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,dual_view,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,fixed_prior,,seed_mean,all_conditions,,,nmae_pct_fs,0.8953224769829022,0.020763231109294556,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,fixed_prior,,seed_mean,all_conditions,,,acc_at_2_pct,91.59166666666665,0.28894564079309765,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,fixed_prior,,seed_mean,all_conditions,,,acc_at_5_pct,98.38194444444444,0.14217637064706018,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,fixed_prior,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,full,,seed_mean,all_conditions,,,nmae_pct_fs,0.7403240998553681,0.02201024194363677,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,full,,seed_mean,all_conditions,,,acc_at_2_pct,93.90416666666668,0.2905932629027081,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,full,,seed_mean,all_conditions,,,acc_at_5_pct,98.89722222222223,0.04376653126830484,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,full,,seed_mean,all_conditions,,,coverage_pct,100.0,0.0,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,linear_gate,,seed_mean,all_conditions,,,nmae_pct_fs,0.7409502462818637,0.022055205788464472,,,4000,145,percent_full_scale_or_percent
table_main,frozen_transfer,syncg/summary.csv,syncg,linear_gate,,seed_mean,all_conditions,,,acc_at_2_pct,93.95555555555556,0.2765214645743998,,,4000,145,percent_full_scale_or_percent
