GeoPRR补充实验结果（均值 ± 标准差）,,,,,,,,
常规结果为六条件总体；按实验分区阅读，各区使用自身表头。,,,,,,,,
,,,,,,,,
E14 完整模型｜六条件总体,,,,,,,,
数据集,方法,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）,,
SyncG,GeoPRR完整模型,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04,,
RF100-VL,GeoPRR完整模型,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23,,
Industrial-1395,GeoPRR完整模型,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51,,
,,,,,,,,
E27 专家与结构消融｜六条件总体,,,,,,,,
数据集,方法,NMAE（%FS）,RMSE（%FS）,Acc@1%（%）,Acc@2%（%）,Acc@5%（%）,,
SyncG,GeoPRR完整模型,0.740 ± 0.022,1.760 ± 0.048,81.38 ± 0.78,93.90 ± 0.29,98.90 ± 0.04,,
SyncG,仅几何/基础专家,0.795 ± 0.022,1.791 ± 0.056,78.36 ± 0.79,93.34 ± 0.30,98.86 ± 0.06,,
SyncG,简单双视图回归,0.731 ± 0.021,1.705 ± 0.044,80.87 ± 0.57,93.92 ± 0.28,99.04 ± 0.06,,
SyncG,仅极坐标专家,1.636 ± 0.044,3.598 ± 0.117,59.12 ± 0.70,76.62 ± 0.89,93.92 ± 0.45,,
SyncG,仅关系专家,0.751 ± 0.023,1.765 ± 0.049,80.94 ± 0.93,93.81 ± 0.33,98.89 ± 0.03,,
SyncG,去几何融合,1.242 ± 0.042,2.496 ± 0.073,63.54 ± 1.33,82.49 ± 1.39,97.00 ± 0.25,,
SyncG,去几何融合+固定路由,1.369 ± 0.047,2.771 ± 0.089,60.85 ± 1.23,80.07 ± 1.50,96.23 ± 0.23,,
SyncG,去关系传输,0.791 ± 0.021,1.799 ± 0.053,78.48 ± 0.65,93.16 ± 0.27,98.84 ± 0.07,,
SyncG,去极坐标证据,0.752 ± 0.023,1.762 ± 0.049,80.84 ± 0.82,93.92 ± 0.25,98.89 ± 0.04,,
SyncG,固定先验混合,0.895 ± 0.021,1.968 ± 0.066,74.78 ± 0.35,91.59 ± 0.29,98.38 ± 0.14,,
RF100-VL,GeoPRR完整模型,3.191 ± 0.257,5.891 ± 1.108,30.32 ± 1.21,56.07 ± 0.88,85.28 ± 0.23,,
RF100-VL,仅几何/基础专家,3.246 ± 0.303,5.963 ± 1.141,30.32 ± 2.15,55.56 ± 1.15,84.84 ± 0.89,,
RF100-VL,简单双视图回归,3.264 ± 0.234,5.966 ± 1.113,27.08 ± 1.56,53.86 ± 1.01,84.18 ± 1.24,,
RF100-VL,仅极坐标专家,4.616 ± 0.554,8.189 ± 1.239,23.73 ± 0.98,44.33 ± 3.70,74.39 ± 2.75,,
RF100-VL,仅关系专家,3.198 ± 0.248,5.891 ± 1.093,30.10 ± 1.86,55.92 ± 0.06,84.99 ± 0.11,,
RF100-VL,固定先验混合,3.399 ± 0.324,6.111 ± 1.130,29.73 ± 1.07,53.02 ± 1.47,83.15 ± 1.32,,
Industrial-1395,GeoPRR完整模型,11.620 ± 1.608,19.382 ± 3.170,9.97 ± 1.15,24.09 ± 2.83,51.87 ± 3.51,,
Industrial-1395,仅几何/基础专家,11.612 ± 1.780,19.288 ± 3.334,8.86 ± 0.56,22.51 ± 1.80,51.77 ± 3.47,,
Industrial-1395,简单双视图回归,10.473 ± 0.730,18.541 ± 1.403,12.61 ± 1.98,31.69 ± 1.86,56.73 ± 4.05,,
