dataset,method,condition_scope,samples,groups,rows_per_seed,nmae_percent_fs_mean,nmae_percent_fs_sample_sd,nmae_percent_fs_seed_20262020,nmae_percent_fs_seed_20262021,nmae_percent_fs_seed_20262022,acc_at_2_percent_mean,acc_at_2_percent_sample_sd,acc_at_2_percent_seed_20262020,acc_at_2_percent_seed_20262021,acc_at_2_percent_seed_20262022,acc_at_5_percent_mean,acc_at_5_percent_sample_sd,acc_at_5_percent_seed_20262020,acc_at_5_percent_seed_20262021,acc_at_5_percent_seed_20262022,coverage_percent_mean,coverage_percent_sample_sd,coverage_percent_seed_20262020,coverage_percent_seed_20262021,coverage_percent_seed_20262022
Industrial-1395,YOLO11s-Pose-4KP,clean,1395,52,1395,22.466530081257215,7.004334914891296,15.497249441439076,22.396940087503793,29.505400714828767,24.492234169653525,3.701544828849114,27.81362007168459,20.50179211469534,25.161290322580644,41.72043010752688,6.045778011534266,48.67383512544803,37.70609318996416,38.78136200716846,99.83273596176821,0.1492233691373595,100.0,99.71326164874552,99.78494623655914
Industrial-1395,YOLO11s-Pose-4KP,all_conditions,1395,52,8370,31.004500114042504,7.614609935600333,23.53194708412602,30.72792254709623,38.75363071090527,15.870171246515332,3.6604077716710917,18.685782556750297,11.732377538829152,17.19235364396655,27.741935483870964,5.886908103590731,34.396654719235364,23.213859020310633,25.615292712066907,99.67343687773796,0.23574111647867627,99.78494623655914,99.4026284348865,99.83273596176822
Industrial-1395,DeepLabV3+-ROI,clean,1395,52,1395,19.05146332052762,5.010304977967542,16.355666939402244,15.966228603554173,24.83249441862645,36.63082437275986,4.497886578365876,38.70967741935484,39.71326164874552,31.469534050179213,52.903225806451616,7.478595759567012,58.63799283154122,55.62724014336918,44.44444444444444,97.10872162485066,1.1588392499863496,96.91756272401433,98.35125448028674,96.05734767025089
Industrial-1395,DeepLabV3+-ROI,all_conditions,1395,52,8370,32.93555056056938,4.084163488885349,30.304491921662336,30.86160510759597,37.640554652449836,28.15611310234966,2.883376677832192,30.81242532855436,28.566308243727597,25.089605734767026,40.39426523297491,4.798451937087216,44.587813620071685,41.4336917562724,35.16129032258065,85.20111509358821,0.8062819710359735,84.67144563918758,86.12903225806451,84.80286738351255
Industrial-1395,VDN,clean,1395,52,1395,23.959623318966763,5.680861216508008,20.18618095552545,30.493175002068405,21.19951399930643,32.04301075268817,6.309465505665017,32.831541218637994,25.376344086021504,37.92114695340502,47.12066905615293,4.988306534574469,51.03942652329749,41.505376344086024,48.81720430107527,99.83273596176821,0.1492233691373595,100.0,99.71326164874552,99.78494623655914
Industrial-1395,VDN,all_conditions,1395,52,8370,25.384042764404214,6.707042569822726,21.119689652314907,33.11495930681856,21.917479334079175,29.561927518916765,6.149740313711442,31.40979689366786,22.700119474313023,34.57586618876942,42.508960573476706,5.378295145783894,46.547192353643965,36.40382317801673,44.57586618876942,99.67343687773796,0.23574111647867627,99.78494623655914,99.4026284348865,99.83273596176822
RF100-VL,YOLO11s-Pose-4KP,clean,151,35,151,10.903948065434653,5.204636825161349,11.410329871539604,5.464628781628377,15.836885543135976,32.22958057395143,16.65313837752079,44.370860927152314,39.0728476821192,13.245033112582782,56.512141280353205,15.801792642978612,63.57615894039735,67.54966887417218,38.41059602649007,100.0,0.0,100.0,100.0,100.0
RF100-VL,YOLO11s-Pose-4KP,all_conditions,151,35,906,16.16315739703001,4.628025955216276,15.26125831456762,12.052467126094351,21.175746750428058,22.442972774098603,10.554746977920926,30.4635761589404,26.379690949227374,10.485651214128035,42.531272994849154,12.623541382005188,48.45474613686534,51.1037527593819,28.03532008830022,99.7056659308315,0.4178740504635959,99.8896247240618,99.22737306843267,100.0
RF100-VL,DeepLabV3+-ROI,clean,151,35,151,8.85496105741152,2.0809098125274814,10.429956023521681,9.63900065327596,6.49592649543692,83.6644591611479,0.38235117164875615,84.10596026490066,83.44370860927152,83.44370860927152,88.30022075055187,3.2668098425935397,86.75496688741723,86.09271523178808,92.05298013245033,95.5849889624724,1.9117558582437888,93.37748344370861,96.6887417218543,96.6887417218543
RF100-VL,DeepLabV3+-ROI,all_conditions,151,35,906,15.853202908378755,4.08131540054935,19.264032436579942,16.964136284321302,11.331440004235022,60.77998528329655,1.371202733891406,59.93377483443709,60.04415011037528,62.36203090507726,74.9448123620309,4.454842399693279,71.30242825607064,73.62030905077263,79.91169977924945,94.40765268579838,2.551396386694015,91.72185430463576,94.70198675496688,96.7991169977925
RF100-VL,VDN,clean,151,35,151,11.61351476763049,4.661997101608269,11.455862394674886,16.35233840822562,7.032343499990959,46.35761589403973,9.800429527780622,39.735099337748345,41.72185430463576,57.615894039735096,66.88741721854304,9.389037668051541,63.57615894039735,59.602649006622514,77.48344370860927,100.0,0.0,100.0,100.0,100.0
RF100-VL,VDN,all_conditions,151,35,906,13.012858692740261,3.2760852955966113,12.858629272987343,16.36333479858056,9.816612006652878,40.32376747608536,6.279114832432779,36.86534216335541,36.53421633554084,47.571743929359826,62.36203090507726,5.191159389097062,59.93377483443709,58.83002207505519,68.32229580573951,100.0,0.0,100.0,100.0,100.0
