domain,method,comparison_role,n_images,n_groups,n_conditions,rows_per_seed,seeds,nmae_mean,nmae_sample_sd,clean_nmae_mean,clean_nmae_sample_sd,acc_at_5_mean,acc_at_5_sample_sd,coverage_mean,coverage_sample_sd,failures_mean,delta_geoprr_minus_method,ci95_low,ci95_high,bootstrap_replicates
SyncG Scene-Holdout,GeoPRR-Net,roi_progress_predictor,1558,14,6,9348,20262020|20262021|20262022,0.010013238319214338,0.0003821507931133251,0.007828385493927024,0.00020392656429856594,0.9808158607901868,0.0007513659786658823,1,0,0,,,,
SyncG Scene-Holdout,DeepLabV3+-ROI,annotation_assisted_pointer_segmentation,1558,14,6,9348,20262020|20262021|20262022,0.01707596462573195,0.004077504016765998,0.0018687586308248837,0.0006945234536007195,0.9517543859649122,0.004368972583795869,0.9970403651404935,0.002668657430048175,27.666666666666668,-0.00706272630651761,-0.009035530438525693,-0.004803570562052137,20000
SyncG Scene-Holdout,YOLO11s-Pose-4KP,roi_four_keypoint_predictor,1558,14,6,9348,20262020|20262021|20262022,0.05566598175526738,0.02970542281923696,0.021776615384810512,0.024697658710635496,0.7250748823277706,0.17022423059564337,0.9982170874340323,0.0008580237780285214,16.666666666666668,-0.04565274343605304,-0.05109959783841836,-0.041676516126935424,20000
SyncG Scene-Holdout,VDN,annotation_assisted_direction_estimator,1558,14,6,9348,20262020|20262021|20262022,0.016619985231766155,0.0008775004609358872,0.01107682842973416,0.0017151207746768096,0.9581728712023962,0.00396095605082877,1,0,0,-0.00660674691255182,-0.00825398019586997,-0.004831776177869948,20000
Industrial-1395,GeoPRR-Net,roi_progress_predictor,1395,52,6,8370,20262020|20262021|20262022,0.023262000730589677,0,0.022623338985259433,0,0.8698924731182796,0,1,0,0,,,,
Industrial-1395,DeepLabV3+-ROI,automatic_geometry_pointer_segmentation,1395,52,6,8370,20262020|20262021|20262022,0.5423079400295001,0.014463496243870813,0.4464108646024802,0.00464095236110334,0.4070888092393469,0.02316826376402645,0.5011947431302269,0.0039607131312427105,4175,-0.5190459392989104,,,
Industrial-1395,YOLO11s-Pose-4KP,roi_four_keypoint_predictor,1395,52,6,8370,20262020|20262021|20262022,0.31004500114042505,0.0761460993560033,0.22466530081257216,0.07004334914891296,0.27741935483870966,0.0588690810359073,0.9967343687773794,0.0023574111647867227,27.333333333333332,-0.2867830004098354,,,
Industrial-1395,VDN,automatic_geometry_direction_estimator,1395,52,6,8370,20262020|20262021|20262022,0.5479871643906424,0.02885962840684607,0.4866247463285231,0.024816998691158273,0.3389486260454002,0.02559010379057178,0.5259259259259259,0,3968,-0.5247251636600527,,,
RF100-VL,GeoPRR-Net,roi_progress_predictor,151,35,6,906,20262020|20262021|20262022,0.050097546048228546,0.015343984412513088,0.051329558001043704,0.020410765300750304,0.7615894039735099,0.051309665779997585,1,0,0,,,,
RF100-VL,DeepLabV3+-ROI,annotation_assisted_pointer_segmentation,151,35,6,906,20262020|20262021|20262022,0.15853202908378755,0.04081315400549351,0.0885496105741152,0.02080909812527482,0.7494481236203091,0.04454842399693281,0.9440765268579838,0.025513963866940076,50.666666666666664,-0.10843448303555901,-0.17295722072166475,-0.05641049711498423,20000
RF100-VL,YOLO11s-Pose-4KP,roi_four_keypoint_predictor,151,35,6,906,20262020|20262021|20262022,0.16163157397030006,0.046280259552162736,0.10903948065434653,0.05204636825161349,0.4253127299484915,0.12623541382005188,0.9970566593083149,0.004178740504635984,2.6666666666666665,-0.11153402792207155,-0.1518426544168345,-0.08078942907460411,20000
RF100-VL,VDN,annotation_assisted_direction_estimator,151,35,6,906,20262020|20262021|20262022,0.13012858692740262,0.032760852955966105,0.11613514767630488,0.04661997101608269,0.6236203090507727,0.051911593890970664,1,0,0,-0.08003104087917406,-0.11970210422969317,-0.044724589063086836,20000
