panel,dataset,configuration,scope,metric,mean,sample_sd,seed_20262020,seed_20262021,seed_20262022
a,SyncG,alpha_0_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.13780401089599428,0.013102543024701294,0.14651514740870675,0.12273566012495896,0.14416122515431717
b,SyncG,alpha_0_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,SyncG,alpha_10_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.07771821174943376,0.00829789265920988,0.08149116997180283,0.06820424207627784,0.08345922320022059
b,SyncG,alpha_10_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,SyncG,alpha_25_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.03654352790948264,0.00483681235070241,0.038189001025871194,0.031098663336689536,0.040342919365887187
b,SyncG,alpha_25_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,SyncG,alpha_50_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.013351660994888123,0.002241530692151002,0.014463897818843052,0.010771522627615271,0.014819562538206044
b,SyncG,alpha_50_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.004166666666666667,0.004166666666666667,0.0,0.004166666666666667,0.008333333333333333
a,SyncG,alpha_100_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.0,0.0,0.0,0.0,0.0
b,SyncG,alpha_100_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.19444444444444442,0.028361913689808522,0.1625,0.21666666666666667,0.20416666666666666
a,SyncG,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.002544484423296874,0.0025651187761414266,-0.004772384353573189,0.00025978526343817254,-0.0031208541797556055
b,SyncG,alpha_200_default_prior,all_conditions,percent_max_weight_strictly_gt_095,4.738888888888889,1.0611865520011778,5.854166666666667,3.7416666666666667,4.620833333333334
a,RF100-VL,alpha_0_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.2351530478200982,0.1174454172068628,0.1396650592674824,0.3662934392279711,0.1995006449648411
b,RF100-VL,alpha_0_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,RF100-VL,alpha_10_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.08725035735948634,0.0415658571507735,0.05368233643477005,0.13374314529714404,0.07432559034654496
b,RF100-VL,alpha_10_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,RF100-VL,alpha_25_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.017553459144481327,0.00988034621860944,0.00618524694975342,0.02407066488853804,0.022404465595152523
b,RF100-VL,alpha_25_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,RF100-VL,alpha_50_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.0008123290348459969,0.00889866485516025,-0.006428350207953848,-0.0018812571654303056,0.010746594477922145
b,RF100-VL,alpha_50_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,RF100-VL,alpha_100_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.0,0.0,0.0,0.0,0.0
b,RF100-VL,alpha_100_default_prior,all_conditions,percent_max_weight_strictly_gt_095,1.030169242089772,0.168601018946131,0.8830022075055187,1.2141280353200883,0.9933774834437086
a,RF100-VL,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.0025895648200195964,0.009334916616748241,-0.00012665696860469922,0.005266953081266124,-0.012908990572720214
b,RF100-VL,alpha_200_default_prior,all_conditions,percent_max_weight_strictly_gt_095,10.007358351729213,1.7111134590483417,11.258278145695364,8.05739514348786,10.706401766004415
a,Industrial-1395,alpha_0_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.3886533860651493,0.165117955463077,0.22166196437277463,0.551831830468716,0.39246636335395735
b,Industrial-1395,alpha_0_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,Industrial-1395,alpha_10_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.17320818230929133,0.05806513956188707,0.11481815248574989,0.23094288441706823,0.17386351002505585
b,Industrial-1395,alpha_10_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,Industrial-1395,alpha_25_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.05603634905362279,0.003972224174910976,0.0526270182979971,0.0550837766278498,0.06039825223502149
b,Industrial-1395,alpha_25_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.0,0.0,0.0,0.0,0.0
a,Industrial-1395,alpha_50_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.01279421321690736,0.012288520537699814,0.02109628155591814,-0.0013224861575036329,0.018608844252307577
b,Industrial-1395,alpha_50_default_prior,all_conditions,percent_max_weight_strictly_gt_095,0.027877339705296694,0.03840561832334908,0.011947431302270013,0.0,0.07168458781362007
a,Industrial-1395,alpha_100_default_prior,all_conditions,paired_delta_nmae_pct_fs,0.0,0.0,0.0,0.0,0.0
b,Industrial-1395,alpha_100_default_prior,all_conditions,percent_max_weight_strictly_gt_095,2.4731182795698925,1.2743491131544145,2.090800477897252,1.4336917562724014,3.894862604540024
a,Industrial-1395,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.0031181803097789875,0.016339615838943902,-0.01363744882491602,0.015705811219481447,-0.01142290332390239
b,Industrial-1395,alpha_200_default_prior,all_conditions,percent_max_weight_strictly_gt_095,13.06252489048188,1.0189928600646616,13.799283154121865,11.899641577060931,13.488649940262844
c,SyncG,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.002544484423296874,0.0025651187761414266,-0.004772384353573189,0.00025978526343817254,-0.0031208541797556055
c,SyncG,alpha_200_default_prior,projective_three,paired_delta_nmae_pct_fs,0.0026416258412450175,0.0037042666414797893,0.0007301058575162056,0.006911169149054208,0.00028360251716463836
c,RF100-VL,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.0025895648200195964,0.009334916616748241,-0.00012665696860469922,0.005266953081266124,-0.012908990572720214
c,RF100-VL,alpha_200_default_prior,projective_three,paired_delta_nmae_pct_fs,0.002110860297299529,0.01129573139419157,-0.008293330767775053,0.014125308869777697,0.0005006027898959431
c,Industrial-1395,alpha_200_default_prior,all_conditions,paired_delta_nmae_pct_fs,-0.0031181803097789875,0.016339615838943902,-0.01363744882491602,0.015705811219481447,-0.01142290332390239
