group_id,delta_nmae_percent_fs,rows
group_001,-18.42984655830595,24
group_002,-20.593674446145695,24
group_003,-19.22393571116306,18
group_004,-15.074534486289378,12
group_005,-17.175118927602416,48
group_006,-13.952090487298038,48
group_007,-17.247000261727305,48
group_008,-14.497502405334398,48
group_009,-16.735453628063908,48
group_010,-17.689450020177496,48
group_011,-18.76862247371011,48
group_012,-14.629152758447969,48
group_013,-14.15832421666494,48
group_014,-14.591430172738102,48
group_015,-23.616565377623946,36
group_016,-20.93489438129796,48
group_017,-18.689554296847845,48
group_018,-18.37576959820257,48
group_019,-15.536919861342069,48
group_020,-16.438265559849917,48
group_021,-18.34116946036617,48
group_022,-9.084946168838497,258
group_023,-4.211512168927769,264
group_024,-8.65400640335348,12
group_025,-15.05210274825996,264
group_026,-6.234868399630127,264
group_027,-25.579133285396683,282
group_028,-31.110202823625528,234
group_029,-14.768747384133723,264
group_030,-14.260018960795728,264
group_031,-3.1933244440220436,258
group_032,2.4109798855527895,240
group_033,-8.857829668781736,258
group_034,-1.2495956935700845,258
group_035,-8.879562542835066,246
group_036,-9.022054969965218,258
group_037,-12.031590754326766,264
group_038,-17.795005114289733,264
group_039,-16.465304358651757,252
group_040,-11.484915192830682,234
group_041,-9.388016187660856,264
group_042,-10.485970368953767,72
group_043,-23.676722481701848,252
group_044,-12.613328124341272,264
group_045,-43.74608649235633,264
group_046,-11.183713139928503,264
group_047,-31.730382137448487,270
group_048,-1.5588841722194668,204
group_049,-6.7064956692915425,258
group_050,-2.527322356516101,258
group_051,-4.319434044516718,216
group_052,-1.5297235544733327,264
