method,condition,label,nmae_mean,nmae_sd,acc2_mean,acc2_sd,geo_reduction_percent,delta_geo_minus_method,ci_low,ci_high,rows,groups,bootstrap_replicates
GeoPRR-Net,clean,Clean,0.007828385493927026,0.00020392656429856553,0.9405220367993153,0.005458857861434744,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,clean,Clean,0.00790966684158473,0.00041143900608685215,0.9379546427043217,0.00133611424869453,1.0276203699297495,-8.128134765770473e-05,-0.0006777224798360978,0.00037482783688732213,1558,14,20000
Raw EfficientNet-B0,clean,Clean,0.008099387948644446,0.000322739075434405,0.9385964912280702,0.0056077631245533615,3.34596214474176,-0.00027100245471741813,-0.00033240514181371027,-0.00020815390759779635,1558,14,20000
Raw MobileNetV3-Large,clean,Clean,0.00935514624597056,0.0004348498812925855,0.9184852374839538,0.0011117142538953346,16.32000945683921,-0.0015267607520435332,-0.002314810256386762,-0.0008516167103700716,1558,14,20000
GeoPRR-Net,blur_moderate,Blur moderate,0.007784649422394104,0.00016330709338075675,0.941591784338896,0.0061228446817518465,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,blur_moderate,Blur moderate,0.007931632864072008,0.0003965626601610499,0.9379546427043218,0.005344456994778244,1.8531296669528865,-0.00014698344167790253,-0.0007816718519870317,0.0003250827952835982,1558,14,20000
Raw EfficientNet-B0,blur_moderate,Blur moderate,0.008064291611385489,0.00033821735319219547,0.9415917843388959,0.005012997224587065,3.467659683791373,-0.0002796421889913838,-0.0003369479483596458,-0.00021721465088955392,1558,14,20000
Raw MobileNetV3-Large,blur_moderate,Blur moderate,0.00942085361384497,0.0004887327800401045,0.9199828840393667,0.0032305667245489124,17.367897416920744,-0.001636204191450866,-0.0024585833317127908,-0.0009469439648201831,1558,14,20000
GeoPRR-Net,blur_severe,Blur severe,0.007997844967143472,0.0002944662165264523,0.9418057338468122,0.006461133449097773,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,blur_severe,Blur severe,0.008206954755019343,0.0004203672739855248,0.9330338040222507,0.0041265086696589395,2.5479583367750434,-0.00020910978787587255,-0.0009070883071355918,0.0003045422593929019,1558,14,20000
Raw EfficientNet-B0,blur_severe,Blur severe,0.008281850217260434,0.0004715530721063261,0.9373127941805733,0.007070052050431458,3.4292488111540465,-0.00028400525011696315,-0.0003427206380648321,-0.00023165838736215563,1558,14,20000
Raw MobileNetV3-Large,blur_severe,Blur severe,0.009806543560745956,0.0003846220588129364,0.913992297817715,0.004008342746083715,18.443792987800705,-0.0018086985936024847,-0.00271109750898332,-0.0010704638808846994,1558,14,20000
GeoPRR-Net,perspective_moderate,Perspective moderate,0.009915837468908012,0.0004897068973885118,0.9135643988018828,0.014140104100862923,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,perspective_moderate,Perspective moderate,0.0189450787579782,0.001318921223676556,0.7148053059477965,0.023751286412285678,47.660088429391045,-0.009029241289070192,-0.010186936581599635,-0.007838317645991445,1558,14,20000
Raw EfficientNet-B0,perspective_moderate,Perspective moderate,0.016785173802331955,0.0005171575752359964,0.7573812580231065,0.005558571269476545,40.925023561386006,-0.006869336333423946,-0.007388730639159381,-0.006297119485387493,1558,14,20000
Raw MobileNetV3-Large,perspective_moderate,Perspective moderate,0.020383890456330486,0.0007247228349531999,0.6949080017115961,0.029387505043569948,51.35453906529154,-0.010468052987422474,-0.01193469411698177,-0.009175777156155964,1558,14,20000
GeoPRR-Net,perspective_severe,Perspective severe,0.012416269114105462,0.0006092289297894533,0.8724860932819855,0.009174917262469636,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,perspective_severe,Perspective severe,0.05537860447791156,0.0038511447782043915,0.3399657680787334,0.02389826538066882,77.57930299768056,-0.042962335363806094,-0.04842949830094044,-0.03765964255986281,1558,14,20000
Raw EfficientNet-B0,perspective_severe,Perspective severe,0.03924384816176515,0.0014445690317335042,0.42083868207103126,0.010974170820053213,68.36123444641574,-0.02682757904765968,-0.030245974541925083,-0.023108848330189807,1558,14,20000
Raw MobileNetV3-Large,perspective_severe,Perspective severe,0.056883148394638074,0.007625724415439169,0.3145057766367137,0.044152460903516925,78.17232437985827,-0.04446687928053261,-0.04863134511411682,-0.04054232539491764,1558,14,20000
GeoPRR-Net,combined_severe,Perspective severe + blur,0.014136443448807962,0.0006937576839202125,0.8568677792041078,0.012245689363503804,0.0,0.0,0.0,0.0,1558,14,20000
Raw ResNet-18,combined_severe,Perspective severe + blur,0.05919849219325595,0.004346732521204507,0.3247753530166881,0.016123050946188013,76.12026434278266,-0.04506204874444798,-0.051198239992766896,-0.039307302994524604,1558,14,20000
Raw EfficientNet-B0,combined_severe,Perspective severe + blur,0.04270840911072459,0.002012101713657195,0.41035515618314083,0.006492935774708401,66.90009358073202,-0.02857196566191662,-0.032343218644167095,-0.024368394987394845,1558,14,20000
Raw MobileNetV3-Large,combined_severe,Perspective severe + blur,0.06253547498975769,0.007017168022758062,0.2956782199400942,0.03498123525072629,77.39452134788569,-0.048399031540949725,-0.053354742529112195,-0.04397774877250309,1558,14,20000
